FedRAMP® Tailored LI-SAAS Baseline - Details,,,,,
No,Control ID,Control Name,Tailoring Action,Additional Tailoring Comments,
1,AC-1,Policy and Procedures,Attest,,
2,AC-2,Account Management,Document and Assess,,
3,AC-3,Access Enforcement,Document and Assess,,
4,AC-7,Unsuccessful Logon Attempts,"NSO, Document and Assess",NSO for non-privileged users. Document and Assess for privileged users related to multi-factor identification and authentication.,
5,AC-8,System Use Notification,FED,FED - This is related to agency data and agency policy solution.,
6,AC-14,Permitted Actions Without Identification or Authentication,FED,FED - This is related to agency data and agency policy solution.,
7,AC-17,Remote Access,Document and Assess,,
8,AC-18,Wireless Access,NSO,"NSO - All access to Cloud SaaS are via web services and/or API.  The device accessed from or whether via wired or wireless connection is out of scope.  Regardless of device accessed from, must utilize approved remote access methods (AC-17), secure communication with strong encryption (SC-13), key management (SC-12), and multi-factor authentication for privileged access (IA-2[1]).",
9,AC-19,Access Control for Mobile Devices,NSO,"NSO - All access to Cloud SaaS are via web service and/or API.  The device accessed from is out of the scope.  Regardless of device accessed from, must utilize approved remote access methods (AC-17), secure communication with strong encryption (SC-13), key management (SC-12), and multi-factor authentication for privileged access (IA-2 [1]).",
10,AC-20,Use of External Systems,Attest,,
11,AC-22,Publicly Accessible Content,Document and Assess,,
12,AT-1,Policy and Procedures,Attest,,
13,AT-2,Literacy Training and Awareness,Attest,,
14,AT-2 (2),Literacy Training and Awareness | Insider Threat,Attest,,
15,AT-3,Role-based Training,Attest,,
16,AT-4,Training Records,Attest,,
17,AU-1,Policy and Procedures,Attest,,
18,AU-2,Event Logging,Attest,,
19,AU-3,Content of Audit Records,Document and Assess,,
20,AU-4,Audit Log Storage Capacity,NSO,NSO - Loss of availability of the audit data has been determined to have little or no impact to government business/mission needs.,
21,AU-5,Response to Audit Logging Process Failures,Document and Assess,,
22,AU-6,"Audit Record Review, Analysis, and Reporting",Document and Assess,,
23,AU-8,Time Stamps,Attest,,
24,AU-9,Protection of Audit Information,Attest,,
25,AU-11,Audit Record Retention,NSO,NSO - Loss of availability of the audit data has been determined as little or no impact to government business/mission needs,
26,AU-12,Audit Record Generation,Attest,,
27,CA-1,Policy and Procedures,Attest,,
28,CA-2,Control Assessments,Document and Assess,,
29,CA-2 (1),Control Assessments | Independent Assessors,Attest,,
30,CA-3,Information Exchange,Document and Assess (Conditional),"Condition: There are connection (s) to external systems.  Connections (if any) shall be authorized and must:
1) Identify the interface/connection.
2) Detail what data is involved and its sensitivity.
3) Determine whether the connection is one-way or bi-directional.
4) Identify how the connection is secured.",
31,CA-5,Plan of Action and Milestones,Attest,Attestation - for compliance with FedRAMP Tailored LI-SaaS Continuous Monitoring Requirements.,
32,CA-6,Authorization,Document and Assess,,
33,CA-7,Continuous Monitoring,Document and Assess,,
34,CA-7 (4),Continuous Monitoring | Risk Monitoring,Document and Assess,,
35,CA-8,Penetration Testing,Document and Assess,,
36,CA-9,Internal System Connections,Document and Assess (Conditional),"Condition: There are connection (s) to external systems.  Connections (if any) shall be authorized and must:
1) Identify the interface/connection.
2) Detail what data is involved and its sensitivity.
3) Determine whether the connection is one-way or bi-directional.
4) Identify how the connection is secured.",
37,CM-1,Policy and Procedures,Attest,,
38,CM-2,Baseline Configuration,Attest,,
39,CM-4,Impact Analyses,Document and Assess,,
40,CM-5,Access Restrictions for Change,Document and Assess,,
41,CM-6,Configuration Settings,Document and Assess,Required - Specifically include details of least functionality.,
42,CM-7,Least Functionality,Attest,,
43,CM-8,System Component Inventory,Document and Assess,,
44,CM-10,Software Usage Restrictions,NSO,NSO- Not directly related to protection of the data.,
45,CM-11,User-installed Software,NSO,"NSO - Boundary is specific to SaaS environment; all access is via web services; users' machine or internal network are not contemplated.  External services (SA-9), internal connection (CA-9), remote access (AC-17), and secure access (SC-12 and SC-13), and privileged authentication (IA-2[1]) are considerations. ",
46,CP-1,Policy and Procedures,Attest,,
47,CP-2,Contingency Plan,NSO,NSO - Loss of availability of the SaaS has been determined as little or no impact to government business/mission needs.,
48,CP-3,Contingency Training,NSO,NSO - Loss of availability of the SaaS has been determined as little or no impact to government business/mission needs.,
49,CP-4,Contingency Plan Testing,NSO,NSO - Loss of availability of the SaaS has been determined as little or no impact to government business/mission needs.,
50,CP-9,System Backup,Document and Assess,,
51,CP-10,System Recovery and Reconstitution,NSO,NSO - Loss of availability of the SaaS has been determined as little or no impact to government business/mission needs.,
52,IA-1,Policy and Procedures,Attest,,
53,IA-2,Identification and Authentication (organizational Users),"NSO, Attest",NSO for non-privileged users. Attestation for privileged users related to multi-factor identification and authentication - specifically include description of management of service accounts.,
54,IA-2 (1),Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,Document and Assess,"FedRAMP requires a minimum of multi-factor authentication for all Federal privileged users, if acceptance of PIV credentials is not supported.  The implementation status and details of how this control is implemented must be clearly defined by the CSP.",
55,IA-2 (2),Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,Document and Assess,,
56,IA-2 (8),Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant,Document and Assess,,
57,IA-2 (12),Identification and Authentication (organizational Users) | Acceptance of PIV Credentials,Document and Assess,,
58,IA-4,Identifier Management,Attest,,
59,IA-5,Authenticator Management,Attest,,
60,IA-5 (1),Authenticator Management | Password-based Authentication,Attest,,
61,IA-6,Authentication Feedback,Document and Assess,,
62,IA-7,Cryptographic Module Authentication,Document and Assess,,
63,IA-8,Identification and Authentication (non-organizational Users),Attest,,
64,IA-8 (1),Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies,Document and Assess (Conditional),"Condition: Must document and assess for privileged users. May attest to this control for non-privileged users. FedRAMP requires a minimum of multi-factor authentication for all Federal privileged users, if acceptance of PIV credentials is not supported.  The implementation status and details of how this control is implemented must be clearly defined by the CSP.",
65,IA-8 (2),Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators,Document and Assess (Conditional),"Condition: Must document and assess for privileged users. May attest to this control for non-privileged users. FedRAMP requires a minimum of multi-factor authentication for all Federal privileged users, if acceptance of PIV credentials is not supported.  The implementation status and details of how this control is implemented must be clearly defined by the CSP.",
66,IA-8 (4),Identification and Authentication (non-organizational Users) | Use of Defined Profiles,Attest,,
67,IA-11,Re-authentication,Attest,,
68,IR-1,Policy and Procedures,Attest,,
69,IR-2,Incident Response Training,Attest,,
70,IR-4,Incident Handling,Document and Assess,,
71,IR-5,Incident Monitoring,Attest,,
72,IR-6,Incident Reporting,Document and Assess,,
73,IR-7,Incident Response Assistance,Attest,,
74,IR-8,Incident Response Plan,Attest,Attestation - Specifically attest to US-CERT compliance.,
75,MA-1,Policy and Procedures,Attest,,
76,MA-2,Controlled Maintenance,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
77,MA-4,Nonlocal Maintenance,Attest,,
78,MA-5,Maintenance Personnel,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
79,MP-1,Policy and Procedures,Attest,,
80,MP-2,Media Access,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
81,MP-6,Media Sanitization,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
82,MP-7,Media Use,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
83,PE-1,Policy and Procedures,Attest,,
84,PE-2,Physical Access Authorizations,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
85,PE-3,Physical Access Control,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
86,PE-6,Monitoring Physical Access,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
87,PE-8,Visitor Access Records,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
88,PE-12,Emergency Lighting,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
89,PE-13,Fire Protection,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
90,PE-14,Environmental Controls,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
91,PE-15,Water Damage Protection,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
92,PE-16,Delivery and Removal,Document and Assess (Conditional),Condition: Control is not inherited from a FedRAMP-authorized PaaS or IaaS.,
93,PL-1,Policy and Procedures,Attest,,
94,PL-2,System Security and Privacy Plans,Document and Assess,,
95,PL-4,Rules of Behavior,Attest,,
96,PL-4 (1),Rules of Behavior | Social Media and External Site/application Usage Restrictions,Attest,,
97,PL-8,Security and Privacy Architectures,Document and Assess,,
98,PL-10,Baseline Selection,Attest,,
99,PL-11,Baseline Tailoring,Attest,,
100,PS-1,Policy and Procedures,Attest,,
101,PS-2,Position Risk Designation,FED,,
102,PS-3,Personnel Screening,Document and Assess,,
103,PS-4,Personnel Termination,Attest,,
104,PS-5,Personnel Transfer,Attest,,
105,PS-6,Access Agreements,Attest,,
106,PS-7,External Personnel Security,Attest,Attestation - Specifically stating that any third-party security personnel are treated as CSP employees.,
107,PS-8,Personnel Sanctions,Attest,,
108,PS-9,Position Descriptions,Attest,,
109,RA-1,Policy and Procedures,Attest,,
110,RA-2,Security Categorization,Document and Assess,,
111,RA-3,Risk Assessment,Document and Assess,,
112,RA-3 (1),Risk Assessment | Supply Chain Risk Assessment,Attest,,
113,RA-5,Vulnerability Monitoring and Scanning,Document and Assess,,
114,RA-5 (2),Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned,Document and Assess,,
115,RA-5 (11),Vulnerability Monitoring and Scanning | Public Disclosure Program,Document and Assess,,
116,RA-7,Risk Response,Document and Assess,,
117,SA-1,Policy and Procedures,Attest,,
118,SA-2,Allocation of Resources,Attest,,
119,SA-3,System Development Life Cycle,Attest,,
120,SA-4,Acquisition Process,Attest,,
121,SA-4 (10),Acquisition Process | Use of Approved PIV Products,Attest,,
122,SA-5,System Documentation,Attest,,
123,SA-8,Security and Privacy Engineering Principles,Attest,,
124,SA-9,External System Services,Document and Assess,,
125,SA-22,Unsupported System Components,Document and Assess,,
126,SC-1,Policy and Procedures,Attest,,
127,SC-5,Denial-of-service Protection,Document and Assess (Conditional),"Condition: If availability is a requirement, define protections in place as per control requirement.               ",
128,SC-7,Boundary Protection,Document and Assess,,
129,SC-8,Transmission Confidentiality and Integrity,Document and Assess,,
130,SC-8 (1),Transmission Confidentiality and Integrity | Cryptographic Protection,Document and Assess,,
131,SC-12,Cryptographic Key Establishment and Management,Document and Assess,,
132,SC-13,Cryptographic Protection,Document and Assess (Conditional),Condition: If implementing need to detail how they meet it or don't meet it.,
133,SC-15,Collaborative Computing Devices and Applications,NSO,NSO - Not directly related to the security of the SaaS.,
134,SC-20,Secure Name/address Resolution Service (authoritative Source),Attest,,
135,SC-21,Secure Name/address Resolution Service (recursive or Caching Resolver),Attest,,
136,SC-22,Architecture and Provisioning for Name/address Resolution Service,Attest,,
137,SC-28,Protection of Information at Rest,Document and Assess,,
138,SC-28 (1),Protection of Information at Rest | Cryptographic Protection,Document and Assess,,
139,SC-39,Process Isolation,Attest,,
140,SI-1,Policy and Procedures,Attest,,
141,SI-2,Flaw Remediation,Document and Assess,,
142,SI-3,Malicious Code Protection,Document and Assess,,
143,SI-4,System Monitoring,Document and Assess,,
144,SI-5,"Security Alerts, Advisories, and Directives",Attest,,
145,SI-12,Information Management and Retention,Attest,Attestation - Specifically related to US-CERT and FedRAMP communications procedures.,
146,SR-1,Policy and Procedures,Attest,,
147,SR-2,Supply Chain Risk Management Plan,Attest,,
148,SR-2 (1),Supply Chain Risk Management Plan | Establish SCRM Team,Attest,,
149,SR-3,Supply Chain Controls and Processes,Attest,,
150,SR-5,"Acquisition Strategies, Tools, and Methods",Attest,,
151,SR-8,Notification Agreements,Attest,,
152,SR-10,Inspection of Systems or Components,Attest,,
153,SR-11,Component Authenticity,Attest,,
154,SR-11 (1),Component Authenticity | Anti-counterfeit Training,Attest,,
155,SR-11 (2),Component Authenticity | Configuration Control for Component Service and Repair,Attest,,
156,SR-12,Component Disposal,Attest,,
