Requirement_ID,Title,Section,Family_Code,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,K8s_Checks,Total_Checks
3_11_2,3_11_2: 3.11.2 Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified,3.11 Risk Assessment,RA,automated,aws_guardduty_is_enabled; aws_guardduty_no_high_severity_findings; aws_securityhub_enabled,,,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_cloud_guard_no_high_severity_findings,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_security_advisor_no_high_severity_findings,alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_threat_detection_no_high_severity_findings,k8s_image_vulnerability_scanning_enabled; k8s_admission_controller_vulnerability_scan_on_admission; k8s_image_pull_policy_always,15
3_11_3,3_11_3: 3.11.3 Remediate vulnerabilities in accordance with risk assessments,3.11 Risk Assessment,RA,automated,aws_guardduty_is_enabled; aws_guardduty_no_high_severity_findings; aws_securityhub_enabled,,,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_cloud_guard_no_high_severity_findings,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_security_advisor_no_high_severity_findings,alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_threat_detection_no_high_severity_findings,k8s_image_vulnerability_scanning_enabled; k8s_admission_controller_vulnerability_policy_enforced; k8s_pod_security_standard_restricted; k8s_audit_vulnerability_remediation_logged,16
3_12_4,"3_12_4: 3.12.4 Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems","3.12 Assessment, Authorization, and Monitoring",CA,automated,aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudwatch_changes_to_network_acls_alarm_configured; aws_cloudwatch_changes_to_network_gateways_alarm_configured; aws_cloudwatch_changes_to_network_route_tables_alarm_configured; aws_cloudwatch_changes_to_vpcs_alarm_configured; aws_ec2_instance_imdsv2_enabled; aws_guardduty_is_enabled; aws_rds_instance_enhanced_monitoring_enabled; aws_securityhub_enabled,,,oracle_audit_cloudwatch_logging_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_compute_instance_imdsv2_enabled; oracle_database_instance_enhanced_monitoring_enabled; oracle_monitoring_changes_to_network_acls_alarm_configured; oracle_monitoring_changes_to_network_gateways_alarm_configured; oracle_monitoring_changes_to_network_route_tables_alarm_configured; oracle_monitoring_changes_to_vpcs_alarm_configured,ibm_activity_tracker_cloudwatch_logging_enabled; ibm_database_instance_enhanced_monitoring_enabled; ibm_monitoring_changes_to_network_acls_alarm_configured; ibm_monitoring_changes_to_network_gateways_alarm_configured; ibm_monitoring_changes_to_network_route_tables_alarm_configured; ibm_monitoring_changes_to_vpcs_alarm_configured; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vsi_instance_imdsv2_enabled,alicloud_actiontrail_cloudwatch_logging_enabled; alicloud_cloudmonitor_changes_to_network_acls_alarm_configured; alicloud_cloudmonitor_changes_to_network_gateways_alarm_configured; alicloud_cloudmonitor_changes_to_network_route_tables_alarm_configured; alicloud_cloudmonitor_changes_to_vpcs_alarm_configured; alicloud_ecs_instance_imdsv2_enabled; alicloud_rds_instance_enhanced_monitoring_enabled; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled,k8s_audit_logging_enabled; k8s_audit_log_retention_configured; k8s_networkpolicy_documentation_up_to_date; k8s_rbac_documentation_up_to_date,40
3_13_1,"3_13_1: 3.13.1 Monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems",3.13 System and Communications Protection,SC,automated,aws_acm_certificates_expiration_check; aws_apigateway_restapi_logging_enabled; aws_awslambda_function_not_publicly_accessible; aws_cloudtrail_log_file_validation_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_elb_logging_enabled; aws_elb_ssl_listeners; aws_elbv2_logging_enabled; aws_elbv2_waf_acl_attached; aws_guardduty_is_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_rds_instance_no_public_access; aws_redshift_cluster_public_access; aws_s3_bucket_secure_transport_policy; aws_s3_bucket_server_access_logging_enabled; aws_securityhub_enabled; aws_vpc_flow_logs_enabled,,,oracle_acm_certificates_expiration_check; oracle_apigateway_restapi_logging_enabled; oracle_audit_log_file_validation_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_awslambda_function_not_publicly_accessible; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_database_instance_integration_cloudwatch_logs; oracle_database_instance_no_public_access; oracle_elb_logging_enabled; oracle_elb_ssl_listeners; oracle_elbv2_logging_enabled; oracle_elbv2_waf_acl_attached; oracle_object_storage_bucket_secure_transport_policy; oracle_object_storage_bucket_server_access_logging_enabled; oracle_redshift_cluster_public_access; oracle_vcn_flow_logs_enabled,ibm_acm_certificates_expiration_check; ibm_activity_tracker_log_file_validation_enabled; ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_awslambda_function_not_publicly_accessible; ibm_cos_bucket_secure_transport_policy; ibm_cos_bucket_server_access_logging_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_database_instance_no_public_access; ibm_elb_logging_enabled; ibm_elb_ssl_listeners; ibm_elbv2_logging_enabled; ibm_elbv2_waf_acl_attached; ibm_redshift_cluster_public_access; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vpc_flow_logs_enabled; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22,alicloud_acm_certificates_expiration_check; alicloud_actiontrail_log_file_validation_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_awslambda_function_not_publicly_accessible; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_elb_logging_enabled; alicloud_elb_ssl_listeners; alicloud_elbv2_logging_enabled; alicloud_elbv2_waf_acl_attached; alicloud_oss_bucket_secure_transport_policy; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_rds_instance_no_public_access; alicloud_redshift_cluster_public_access; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_vpc_flow_logs_enabled,k8s_networkpolicy_default_deny_ingress; k8s_networkpolicy_default_deny_egress; k8s_ingress_tls_enabled; k8s_service_mesh_traffic_encryption_enabled,88
3_13_11,3_13_11: 3.13.11 Employ FIPS-validated cryptography when used to protect the confidentiality of CUI,3.13 System and Communications Protection,SC,automated,aws_acm_certificates_expiration_check; aws_cloudtrail_kms_encryption_enabled; aws_cloudwatch_log_group_kms_encryption_enabled; aws_dynamodb_tables_kms_cmk_encryption_enabled; aws_ec2_ebs_volume_encryption; aws_efs_encryption_at_rest_enabled; aws_opensearch_service_domains_encryption_at_rest_enabled; aws_rds_instance_storage_encrypted; aws_s3_bucket_default_encryption; aws_s3_bucket_secure_transport_policy; aws_sagemaker_notebook_instance_encryption_enabled; aws_sns_topics_kms_encryption_at_rest_enabled,,,oracle_acm_certificates_expiration_check; oracle_audit_kms_encryption_enabled; oracle_compute_ebs_volume_encryption; oracle_database_instance_storage_encrypted; oracle_dynamodb_tables_kms_cmk_encryption_enabled; oracle_efs_encryption_at_rest_enabled; oracle_monitoring_log_group_kms_encryption_enabled; oracle_object_storage_bucket_default_encryption; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_encryption_at_rest_enabled; oracle_sagemaker_notebook_instance_encryption_enabled; oracle_sns_topics_kms_encryption_at_rest_enabled,ibm_acm_certificates_expiration_check; ibm_activity_tracker_kms_encryption_enabled; ibm_cos_bucket_default_encryption; ibm_cos_bucket_secure_transport_policy; ibm_database_instance_storage_encrypted; ibm_dynamodb_tables_kms_cmk_encryption_enabled; ibm_efs_encryption_at_rest_enabled; ibm_monitoring_log_group_kms_encryption_enabled; ibm_opensearch_service_domains_encryption_at_rest_enabled; ibm_sagemaker_notebook_instance_encryption_enabled; ibm_sns_topics_kms_encryption_at_rest_enabled; ibm_vsi_ebs_volume_encryption,alicloud_acm_certificates_expiration_check; alicloud_actiontrail_kms_encryption_enabled; alicloud_cloudmonitor_log_group_kms_encryption_enabled; alicloud_dynamodb_tables_kms_cmk_encryption_enabled; alicloud_ecs_ebs_volume_encryption; alicloud_efs_encryption_at_rest_enabled; alicloud_opensearch_service_domains_encryption_at_rest_enabled; alicloud_oss_bucket_default_encryption; alicloud_oss_bucket_secure_transport_policy; alicloud_rds_instance_storage_encrypted; alicloud_sagemaker_notebook_instance_encryption_enabled; alicloud_sns_topics_kms_encryption_at_rest_enabled,k8s_etcd_fips_encryption_enabled; k8s_secret_fips_encryption_at_rest_enabled; k8s_apiserver_fips_tls_enabled,51
3_13_15,3_13_15: 3.13.15 Protect the authenticity of communications sessions,3.13 System and Communications Protection,SC,automated,aws_elb_ssl_listeners,,,oracle_elb_ssl_listeners,ibm_elb_ssl_listeners,alicloud_elb_ssl_listeners,k8s_ingress_tls_enabled; k8s_service_mesh_mtls_enabled; k8s_apiserver_tls_enabled; k8s_etcd_tls_enabled,8
3_13_16,3_13_16: 3.13.16 Protect the confidentiality of CUI at rest,3.13 System and Communications Protection,SC,automated,aws_cloudtrail_kms_encryption_enabled; aws_cloudwatch_log_group_kms_encryption_enabled; aws_dynamodb_tables_kms_cmk_encryption_enabled; aws_ec2_ebs_volume_encryption; aws_efs_encryption_at_rest_enabled; aws_opensearch_service_domains_encryption_at_rest_enabled; aws_rds_instance_storage_encrypted; aws_s3_bucket_default_encryption; aws_s3_bucket_secure_transport_policy; aws_sagemaker_notebook_instance_encryption_enabled; aws_sns_topics_kms_encryption_at_rest_enabled,,,oracle_audit_kms_encryption_enabled; oracle_compute_ebs_volume_encryption; oracle_database_instance_storage_encrypted; oracle_dynamodb_tables_kms_cmk_encryption_enabled; oracle_efs_encryption_at_rest_enabled; oracle_monitoring_log_group_kms_encryption_enabled; oracle_object_storage_bucket_default_encryption; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_encryption_at_rest_enabled; oracle_sagemaker_notebook_instance_encryption_enabled; oracle_sns_topics_kms_encryption_at_rest_enabled,ibm_activity_tracker_kms_encryption_enabled; ibm_cos_bucket_default_encryption; ibm_cos_bucket_secure_transport_policy; ibm_database_instance_storage_encrypted; ibm_dynamodb_tables_kms_cmk_encryption_enabled; ibm_efs_encryption_at_rest_enabled; ibm_monitoring_log_group_kms_encryption_enabled; ibm_opensearch_service_domains_encryption_at_rest_enabled; ibm_sagemaker_notebook_instance_encryption_enabled; ibm_sns_topics_kms_encryption_at_rest_enabled; ibm_vsi_ebs_volume_encryption,alicloud_actiontrail_kms_encryption_enabled; alicloud_cloudmonitor_log_group_kms_encryption_enabled; alicloud_dynamodb_tables_kms_cmk_encryption_enabled; alicloud_ecs_ebs_volume_encryption; alicloud_efs_encryption_at_rest_enabled; alicloud_opensearch_service_domains_encryption_at_rest_enabled; alicloud_oss_bucket_default_encryption; alicloud_oss_bucket_secure_transport_policy; alicloud_rds_instance_storage_encrypted; alicloud_sagemaker_notebook_instance_encryption_enabled; alicloud_sns_topics_kms_encryption_at_rest_enabled,k8s_secret_encryption_at_rest_enabled; k8s_etcd_encryption_enabled; k8s_pod_security_standard_restricted,47
3_13_2,"3_13_2: 3.13.2 Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems",3.13 System and Communications Protection,SC,automated,aws_acm_certificates_expiration_check; aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_cloudtrail_multi_region_enabled; aws_dynamodb_tables_pitr_enabled; aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_efs_have_backup_enabled; aws_elbv2_deletion_protection; aws_emr_cluster_master_nodes_no_public_ip; aws_rds_instance_backup_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_rds_instance_multi_az; aws_rds_instance_no_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_s3_bucket_policy_public_write_access; aws_s3_bucket_public_access; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,,,oracle_acm_certificates_expiration_check; oracle_audit_multi_region_enabled; oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_backup_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_database_instance_multi_az; oracle_database_instance_no_public_access; oracle_dynamodb_tables_pitr_enabled; oracle_efs_have_backup_enabled; oracle_elbv2_deletion_protection; oracle_emr_cluster_master_nodes_no_public_ip; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_acm_certificates_expiration_check; ibm_activity_tracker_multi_region_enabled; ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_database_instance_backup_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_database_instance_multi_az; ibm_database_instance_no_public_access; ibm_dynamodb_tables_pitr_enabled; ibm_efs_have_backup_enabled; ibm_elbv2_deletion_protection; ibm_emr_cluster_master_nodes_no_public_ip; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_acm_certificates_expiration_check; alicloud_actiontrail_multi_region_enabled; alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_dynamodb_tables_pitr_enabled; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_efs_have_backup_enabled; alicloud_elbv2_deletion_protection; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_rds_instance_backup_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_rds_instance_multi_az; alicloud_rds_instance_no_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,k8s_rbac_least_privilege_enforcement; k8s_networkpolicy_default_deny_ingress; k8s_secret_encryption_at_rest_enabled; k8s_apiserver_audit_logging_enabled,92
3_13_3,3_13_3: 3.13.3 Separate user functionality from system management functionality,3.13 System and Communications Protection,SC,automated,aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges,,,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges,k8s_rbac_no_cluster_admin_binding; k8s_rbac_separate_user_and_admin_roles; k8s_rbac_least_privilege_enforcement,15
3_13_4,3_13_4: 3.13.4 Prevent unauthorized and unintended information transfer via shared system resources,3.13 System and Communications Protection,SC,automated,aws_No checks defined,,,oracle_No checks defined,ibm_No checks defined,alicloud_No checks defined,k8s_networkpolicy_default_deny_ingress; k8s_networkpolicy_default_deny_egress; k8s_pod_security_context_non_root; k8s_admission_controller_pod_security_enabled,8
3_13_5,3_13_5: 3.13.5 Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks,3.13 System and Communications Protection,SC,automated,aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_elb_ssl_listeners; aws_elbv2_waf_acl_attached; aws_emr_cluster_master_nodes_no_public_ip; aws_opensearch_service_domains_node_to_node_encryption_enabled; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_s3_bucket_policy_public_write_access; aws_s3_bucket_public_access; aws_s3_bucket_secure_transport_policy; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,,,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_elb_ssl_listeners; oracle_elbv2_waf_acl_attached; oracle_emr_cluster_master_nodes_no_public_ip; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_node_to_node_encryption_enabled; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_cos_bucket_secure_transport_policy; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_elb_ssl_listeners; ibm_elbv2_waf_acl_attached; ibm_emr_cluster_master_nodes_no_public_ip; ibm_opensearch_service_domains_node_to_node_encryption_enabled; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_elb_ssl_listeners; alicloud_elbv2_waf_acl_attached; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_opensearch_service_domains_node_to_node_encryption_enabled; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_oss_bucket_secure_transport_policy; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,k8s_networkpolicy_default_deny_ingress; k8s_networkpolicy_default_deny_egress; k8s_service_type_not_nodeport; k8s_ingress_tls_enabled,80
3_13_6,"3_13_6: 3.13.6 Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception)",3.13 System and Communications Protection,SC,automated,aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22,,,oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22,ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22,alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22,k8s_networkpolicy_default_deny_ingress; k8s_networkpolicy_default_deny_egress,10
3_13_8,3_13_8: 3.13.8 Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards,3.13 System and Communications Protection,SC,automated,aws_acm_certificates_expiration_check; aws_elb_ssl_listeners; aws_opensearch_service_domains_node_to_node_encryption_enabled; aws_s3_bucket_secure_transport_policy,,,oracle_acm_certificates_expiration_check; oracle_elb_ssl_listeners; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_node_to_node_encryption_enabled,ibm_acm_certificates_expiration_check; ibm_cos_bucket_secure_transport_policy; ibm_elb_ssl_listeners; ibm_opensearch_service_domains_node_to_node_encryption_enabled,alicloud_acm_certificates_expiration_check; alicloud_elb_ssl_listeners; alicloud_opensearch_service_domains_node_to_node_encryption_enabled; alicloud_oss_bucket_secure_transport_policy,k8s_ingress_tls_enabled; k8s_service_mtls_enabled; k8s_apiserver_tls_enabled; k8s_etcd_tls_enabled,20
3_14_1,"3_14_1: 3.14.1 Identify, report, and correct system flaws in a timely manner",3.14 System and Information integrity,SI,automated,aws_guardduty_is_enabled; aws_securityhub_enabled,,,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled,alicloud_security_center_enabled; alicloud_threat_detection_is_enabled,k8s_admission_controller_vulnerability_scanning_enabled; k8s_image_vulnerability_scanning_enabled; k8s_audit_logging_enabled; k8s_apiserver_security_updates_applied,12
3_14_2,3_14_2: 3.14.2 Provide protection from malicious code at designated locations within organizational systems,3.14 System and Information integrity,SI,automated,aws_ec2_instance_managed_by_ssm; aws_guardduty_is_enabled; aws_securityhub_enabled; aws_ssm_managed_compliant_patching,,,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_compute_instance_managed_by_ssm; oracle_ssm_managed_compliant_patching,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_ssm_managed_compliant_patching; ibm_vsi_instance_managed_by_ssm,alicloud_ecs_instance_managed_by_ssm; alicloud_security_center_enabled; alicloud_ssm_managed_compliant_patching; alicloud_threat_detection_is_enabled,k8s_admission_controller_antivirus_enabled; k8s_pod_security_context_readonly_rootfs; k8s_image_vulnerability_scanning_enabled; k8s_networkpolicy_egress_restricted_to_security_services,20
3_14_3,3_14_3: 3.14.3 Monitor system security alerts and advisories and take action in response,3.14 System and Information integrity,SI,automated,aws_guardduty_is_enabled; aws_securityhub_enabled; aws_ssm_managed_compliant_patching,,,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_ssm_managed_compliant_patching,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_ssm_managed_compliant_patching,alicloud_security_center_enabled; alicloud_ssm_managed_compliant_patching; alicloud_threat_detection_is_enabled,k8s_audit_logging_enabled; k8s_admission_controller_security_alerts_enabled; k8s_monitoring_prometheus_alerts_configured; k8s_event_alerting_system_configured,16
3_14_4,3_14_4: 3.14.4 Update malicious code protection mechanisms when new releases are available,3.14 System and Information integrity,SI,automated,aws_guardduty_is_enabled,,,oracle_cloud_guard_is_enabled,ibm_security_advisor_is_enabled,alicloud_threat_detection_is_enabled,k8s_image_vulnerability_scanning_enabled; k8s_image_scan_on_admission; k8s_admission_controller_security_updates_applied,7
