Requirement_ID,Title,Section,Family_Code,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,K8s_Checks,Total_Checks
3_14_6,"3_14_6: 3.14.6 Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks",3.14 System and Information integrity,SI,automated,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_guardduty_is_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_s3_bucket_server_access_logging_enabled; aws_securityhub_enabled; aws_vpc_flow_logs_enabled,,,oracle_apigateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_elb_logging_enabled; oracle_elbv2_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled; oracle_vcn_flow_logs_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_elb_logging_enabled; ibm_elbv2_logging_enabled; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vpc_flow_logs_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_elb_logging_enabled; alicloud_elbv2_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_vpc_flow_logs_enabled,k8s_audit_logging_enabled; k8s_networkpolicy_monitoring_enabled; k8s_ingress_logging_enabled,47
3_14_7,3_14_7: 3.14.7 Identify unauthorized use of organizational systems,3.14 System and Information integrity,SI,automated,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_guardduty_is_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_s3_bucket_server_access_logging_enabled; aws_securityhub_enabled; aws_vpc_flow_logs_enabled,,,oracle_apigateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_elb_logging_enabled; oracle_elbv2_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled; oracle_vcn_flow_logs_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_elb_logging_enabled; ibm_elbv2_logging_enabled; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vpc_flow_logs_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_elb_logging_enabled; alicloud_elbv2_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_vpc_flow_logs_enabled,k8s_audit_logging_enabled; k8s_audit_log_retention_configured; k8s_rbac_least_privilege_enforcement; k8s_networkpolicy_default_deny_ingress,48
3_1_1,"3_1_1: 3.1.1 Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)",3.1 Access Control,AC,automated,aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_ec2_ebs_public_snapshot; aws_ec2_instance_profile_attached; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_eks_cluster_not_publicly_accessible; aws_emr_cluster_master_nodes_no_public_ip; aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges; aws_iam_no_root_access_key; aws_iam_root_hardware_mfa_enabled; aws_iam_root_mfa_enabled; aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused; aws_iam_user_mfa_enabled_console_access; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_s3_bucket_policy_public_write_access; aws_s3_bucket_public_access; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,,,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_profile_attached; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_eks_cluster_not_publicly_accessible; oracle_emr_cluster_master_nodes_no_public_ip; oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_identity_root_hardware_mfa_enabled; oracle_identity_root_mfa_enabled; oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused; oracle_identity_user_mfa_enabled_console_access; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_eks_cluster_not_publicly_accessible; ibm_emr_cluster_master_nodes_no_public_ip; ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_iam_root_hardware_mfa_enabled; ibm_iam_root_mfa_enabled; ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused; ibm_iam_user_mfa_enabled_console_access; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_profile_attached; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_profile_attached; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_eks_cluster_not_publicly_accessible; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_ram_root_hardware_mfa_enabled; alicloud_ram_root_mfa_enabled; alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused; alicloud_ram_user_mfa_enabled_console_access; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,k8s_rbac_least_privilege_enforcement; k8s_rbac_no_cluster_admin_binding; k8s_networkpolicy_default_deny_ingress; k8s_service_type_not_nodeport,108
3_1_12,3_1_12: 3.1.12 Monitor and control remote access sessions,3.1 Access Control,AC,automated,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_guardduty_is_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_s3_bucket_server_access_logging_enabled; aws_securityhub_enabled,,,oracle_apigateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_elb_logging_enabled; oracle_elbv2_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_elb_logging_enabled; ibm_elbv2_logging_enabled; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_elb_logging_enabled; alicloud_elbv2_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled,k8s_audit_logging_enabled; k8s_audit_log_retention_configured; k8s_apiserver_audit_policy_configured; k8s_networkpolicy_restrict_remote_access,44
3_1_13,3_1_13: 3.1.13 Employ cryptographic mechanisms to protect the confidentiality of remote access sessions,3.1 Access Control,AC,automated,aws_elb_ssl_listeners; aws_s3_bucket_secure_transport_policy,,,oracle_elb_ssl_listeners; oracle_object_storage_bucket_secure_transport_policy,ibm_cos_bucket_secure_transport_policy; ibm_elb_ssl_listeners,alicloud_elb_ssl_listeners; alicloud_oss_bucket_secure_transport_policy,k8s_apiserver_tls_enabled; k8s_ingress_tls_enabled; k8s_service_mesh_mtls_enabled; k8s_etcd_tls_enabled,12
3_1_14,3_1_14: 3.1.14 Route remote access via managed access control points,3.1 Access Control,AC,automated,aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_iam_user_mfa_enabled_console_access; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,,,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_identity_user_mfa_enabled_console_access; oracle_object_storage_account_level_public_access_blocks; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_iam_user_mfa_enabled_console_access; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_oss_account_level_public_access_blocks; alicloud_ram_user_mfa_enabled_console_access; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,k8s_networkpolicy_default_deny_ingress; k8s_networkpolicy_default_deny_egress; k8s_ingress_tls_enabled; k8s_service_type_loadbalancer_restricted,56
3_1_2,3_1_2: 3.1.2 Limit system access to the types of transactions and functions that authorized users are permitted to execute,3.1 Access Control,AC,automated,aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_ec2_ebs_public_snapshot; aws_ec2_instance_profile_attached; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_eks_cluster_not_publicly_accessible; aws_emr_cluster_master_nodes_no_public_ip; aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges; aws_iam_no_root_access_key; aws_iam_root_hardware_mfa_enabled; aws_iam_root_mfa_enabled; aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused; aws_iam_user_mfa_enabled_console_access; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_s3_bucket_policy_public_write_access; aws_s3_bucket_public_access; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,,,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_profile_attached; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_eks_cluster_not_publicly_accessible; oracle_emr_cluster_master_nodes_no_public_ip; oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_identity_root_hardware_mfa_enabled; oracle_identity_root_mfa_enabled; oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused; oracle_identity_user_mfa_enabled_console_access; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_eks_cluster_not_publicly_accessible; ibm_emr_cluster_master_nodes_no_public_ip; ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_iam_root_hardware_mfa_enabled; ibm_iam_root_mfa_enabled; ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused; ibm_iam_user_mfa_enabled_console_access; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_profile_attached; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_profile_attached; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_eks_cluster_not_publicly_accessible; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_ram_root_hardware_mfa_enabled; alicloud_ram_root_mfa_enabled; alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused; alicloud_ram_user_mfa_enabled_console_access; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,k8s_rbac_least_privilege_enforcement; k8s_rbac_no_cluster_admin_binding; k8s_rbac_service_account_token_automount_disabled; k8s_networkpolicy_default_deny_ingress,108
3_1_20,3_1_20: 3.1.20 Verify and control/limit connections to and use of external systems,3.1 Access Control,AC,automated,aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_s3_account_level_public_access_blocks,,,oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_object_storage_account_level_public_access_blocks,ibm_cos_account_level_public_access_blocks; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_oss_account_level_public_access_blocks,k8s_networkpolicy_default_deny_egress; k8s_networkpolicy_restrict_external_access; k8s_service_type_loadbalancer_restricted; k8s_ingress_tls_enabled,20
3_1_3,3_1_3: 3.1.3 Control the flow of CUI in accordance with approved authorizations,3.1 Access Control,AC,automated,aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_eks_cluster_not_publicly_accessible; aws_emr_cluster_master_nodes_no_public_ip; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_s3_bucket_policy_public_write_access; aws_s3_bucket_public_access; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,,,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_eks_cluster_not_publicly_accessible; oracle_emr_cluster_master_nodes_no_public_ip; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_eks_cluster_not_publicly_accessible; ibm_emr_cluster_master_nodes_no_public_ip; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_eks_cluster_not_publicly_accessible; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,k8s_networkpolicy_default_deny_ingress; k8s_networkpolicy_default_deny_egress; k8s_rbac_least_privilege_enforcement; k8s_service_type_loadbalancer_restricted,68
3_1_4,3_1_4: 3.1.4 Separate the duties of individuals to reduce the risk of malevolent activity without collusion,3.1 Access Control,AC,automated,aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges; aws_iam_no_root_access_key; aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,,,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,k8s_rbac_no_cluster_admin_binding; k8s_rbac_least_privilege_enforcement; k8s_rbac_role_separation_enforced; k8s_rbac_service_account_least_privilege,28
3_1_5,"3_1_5: 3.1.5 Employ the principle of least privilege, including for specific security functions and privileged accounts",3.1 Access Control,AC,automated,aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges; aws_iam_no_root_access_key; aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,,,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,k8s_rbac_no_cluster_admin_binding; k8s_rbac_least_privilege_enforcement; k8s_rbac_service_account_least_privilege,27
3_1_6,3_1_6: 3.1.6 Use non-privileged accounts or roles when accessing nonsecurity functions,3.1 Access Control,AC,automated,aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges; aws_iam_no_root_access_key,,,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key,k8s_rbac_no_cluster_admin_binding; k8s_rbac_least_privilege_enforcement; k8s_rbac_service_account_restricted_roles,19
3_1_7,3_1_7: 3.1.7 Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs,3.1 Access Control,AC,automated,aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges; aws_iam_no_root_access_key,,,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key,k8s_rbac_no_cluster_admin_binding; k8s_rbac_least_privilege_enforcement; k8s_audit_policy_captures_privileged_actions,19
