Control_ID,Section,Title,Description,Category,Applicability,Requirements
1.1,1. IT Governance,Board Approved IT Strategy,NBFCs with asset size of ₹ 500 crore and above shall have a Board approved IT Strategy aligned with their business strategy,IT Governance,NBFCs with asset size ≥ ₹ 500 crore,IT Strategy aligned with business strategy; Reviewed periodically; Updated as per business changes
1.2,1. IT Governance,IT Strategy Committee of the Board,NBFCs shall constitute an IT Strategy Committee of the Board (ITSC) comprising at least two members of the Board,IT Governance,NBFCs with asset size ≥ ₹ 500 crore,At least two Board members; One member with adequate technology expertise; CIO as permanent invitee; Meets at least once every quarter
1.3,1. IT Governance,Chief Information Officer (CIO),NBFCs shall designate a senior level official as Chief Information Officer,IT Governance,NBFCs with asset size ≥ ₹ 500 crore,Senior level official as CIO; Direct reporting to MD/CEO; Part of Top Management; Adequate authority and reporting structure
1.4,1. IT Governance,Chief Information Security Officer (CISO),NBFCs shall designate a senior level official as CISO separate from the CIO,IT Governance,NBFCs with asset size ≥ ₹ 500 crore,Separate from CIO; Adequate independence and authority; Responsible for information security function
2.1,2. Information and Cyber Security,Information Security Policy,NBFCs shall have a comprehensive Information Security Policy duly approved by the Board,Information Security,All NBFCs,Board approved policy; Cover all aspects of information security; Reviewed at least once every year; Updated to address emerging threats
2.2,2. Information and Cyber Security,Cyber Security Policy,"NBFCs shall frame a Cyber Security Policy covering detection, containment, prevention and recovery from cyber incidents",Information Security,All NBFCs,Detection mechanisms; Incident response procedures; Recovery plans; Preventive measures
2.3,2. Information and Cyber Security,Cyber Crisis Management Plan,NBFCs shall formulate a Cyber Crisis Management Plan approved by the Board,Information Security,NBFCs with asset size ≥ ₹ 500 crore,Board approved plan; Incident response procedures; Communication protocols; Recovery strategies
2.4,2. Information and Cyber Security,Cyber Incident Reporting to RBI,NBFCs shall report significant cyber incidents to RBI immediately,Information Security,All NBFCs,Immediate reporting to RBI; Detailed incident information; Impact assessment; Remediation actions
2.5,2. Information and Cyber Security,Access Control,NBFCs shall implement stringent access control mechanisms,Information Security,All NBFCs,User authentication mechanisms; Role-based access control; Privileged access management; Regular access reviews
2.6,2. Information and Cyber Security,Patch Management,NBFCs shall have a documented patch management policy,Information Security,All NBFCs,Timely patching of systems; Testing before deployment; Critical patches applied urgently; Documentation of patch status
2.7,2. Information and Cyber Security,Anti-Malware Protection,NBFCs shall deploy appropriate anti-malware solutions,Information Security,All NBFCs,Anti-virus/anti-malware software; Regular signature updates; Real-time scanning; Centralized management
2.8,2. Information and Cyber Security,Network Security,"NBFCs shall implement network security controls including firewalls, IDS/IPS",Information Security,All NBFCs,Firewall implementation; Intrusion detection/prevention systems; Network segmentation; Regular security monitoring
2.9,2. Information and Cyber Security,Encryption,NBFCs shall use encryption for sensitive data at rest and in transit,Information Security,All NBFCs,Encryption of data at rest; Encryption of data in transit; Strong encryption algorithms; Key management procedures
2.10,2. Information and Cyber Security,Secure Software Development,NBFCs shall adopt secure coding practices and conduct security testing,Information Security,NBFCs with asset size ≥ ₹ 500 crore,Secure coding standards; Code review processes; Security testing (SAST/DAST); Vulnerability assessments
2.11,2. Information and Cyber Security,Mobile Financial Services Security,NBFCs offering mobile financial services shall implement additional security measures,Information Security,NBFCs offering mobile services,Multi-factor authentication; Secure communication channels; Device binding; Transaction limits
2.12,2. Information and Cyber Security,Social Media Usage Policy,NBFCs shall have a policy for official use of social media,Information Security,All NBFCs using social media,Approved social media policy; Authorized personnel only; Monitoring of social media channels; Incident response for social media
3.1,3. IT Operations,Change Management,NBFCs shall have a documented change management process,IT Operations,All NBFCs,Formal change approval process; Testing in non-production environment; Rollback procedures; Change documentation
3.2,3. IT Operations,Capacity Management,NBFCs shall monitor and manage IT infrastructure capacity,IT Operations,NBFCs with asset size ≥ ₹ 500 crore,Regular capacity monitoring; Capacity planning; Performance optimization; Scalability considerations
3.3,3. IT Operations,Incident Management,NBFCs shall have an IT incident management process,IT Operations,All NBFCs,Incident logging and tracking; Prioritization and escalation; Root cause analysis; Incident resolution documentation
3.4,3. IT Operations,System and Data Backup,NBFCs shall have comprehensive backup procedures,IT Operations,All NBFCs,Regular automated backups; Offsite backup storage; Backup testing and restoration; Retention as per policy
3.5,3. IT Operations,Logging and Monitoring,NBFCs shall implement comprehensive logging and monitoring,IT Operations,All NBFCs,System and application logs; Security event monitoring; Log retention and protection; Regular log review
4.1,4. IS Audit,Annual IS Audit,NBFCs shall conduct annual IS Audit by independent auditors,IS Audit,NBFCs with asset size ≥ ₹ 500 crore,Annual IS Audit mandatory; Independent external auditors; CISA/CISM qualified auditors preferred; Report submitted to Board and RBI
4.2,4. IS Audit,IS Audit Scope,"IS Audit shall cover IT governance, security, operations and compliance",IS Audit,NBFCs with asset size ≥ ₹ 500 crore,IT governance assessment; Security controls review; Operations assessment; Regulatory compliance check
4.3,4. IS Audit,Computer Assisted Audit Techniques (CAATs),IS Auditors should use CAATs for critical areas,IS Audit,NBFCs with asset size ≥ ₹ 500 crore,Use of CAATs in critical areas; Revenue leakage detection; Transaction monitoring; AML compliance checking
5.1,5. Business Continuity Planning,Business Continuity Plan,NBFCs shall have a Board approved Business Continuity Plan,Business Continuity,All NBFCs,Board approved BCP; Business Impact Analysis; Recovery strategies; Regular BCP testing
5.2,5. Business Continuity Planning,Business Impact Analysis,NBFCs shall conduct Business Impact Analysis to identify critical systems,Business Continuity,All NBFCs,Identify critical business processes; Determine recovery priorities; Assess impact of disruptions; Define recovery time objectives
5.3,5. Business Continuity Planning,Disaster Recovery Site,NBFCs shall consider backup sites for critical systems and data centers,Business Continuity,NBFCs with asset size ≥ ₹ 500 crore,Backup site for critical systems; Data center redundancy; Geographically separated; Regular DR testing
5.4,5. Business Continuity Planning,BCP Testing,NBFCs shall test BCP at least annually or when significant changes occur,Business Continuity,All NBFCs,Annual BCP testing minimum; Worst case scenario testing; Gap analysis; Results reported to Board
6.1,6. IT Services Outsourcing,IT Outsourcing Policy,NBFCs shall have a Board approved IT outsourcing policy,IT Outsourcing,NBFCs outsourcing IT services,Board approved policy; Risk assessment framework; Due diligence process; Governance mechanism
6.2,6. IT Services Outsourcing,Outsourcing Contracts,NBFCs shall have comprehensive written agreements for IT outsourcing,IT Outsourcing,NBFCs outsourcing IT services,Written contractual agreements; Legal counsel review; Monitoring and oversight clauses; Audit rights for NBFC and RBI
6.3,6. IT Services Outsourcing,Outsourcing Risk Management,Board and senior management are responsible for outsourcing risk management,IT Outsourcing,NBFCs outsourcing IT services,Board oversight of outsourcing; Risk-based policies and procedures; Periodic review of arrangements; Independent audit of service providers
6.4,6. IT Services Outsourcing,Service Provider BCP,NBFCs shall ensure service providers have adequate BCP,IT Outsourcing,NBFCs outsourcing IT services,Service provider BCP assessment; Regular BCP testing by provider; Integration with NBFC's BCP; Contractual BCP requirements
7.1,7. Smaller NBFCs (< ₹ 500 crore),IT Policy for Smaller NBFCs,NBFCs with asset size below ₹ 500 crore shall have Board approved IT policy,IT Governance,NBFCs with asset size < ₹ 500 crore,Board approved IT policy; Basic security controls; User access controls; Maker-checker concept
7.2,7. Smaller NBFCs (< ₹ 500 crore),Basic Security for Smaller NBFCs,Smaller NBFCs shall implement basic security controls,Information Security,NBFCs with asset size < ₹ 500 crore,Physical and logical access controls; Password policy; Maker-checker controls; Information security basics
7.3,7. Smaller NBFCs (< ₹ 500 crore),Backup for Smaller NBFCs,Smaller NBFCs shall have data backup arrangements with periodic testing,IT Operations,NBFCs with asset size < ₹ 500 crore,Regular data backups; Periodic backup testing; Backup retention policy; Offsite storage consideration
7.4,7. Smaller NBFCs (< ₹ 500 crore),BCP for Smaller NBFCs,Smaller NBFCs shall have Board approved BCP with annual oversight,Business Continuity,NBFCs with asset size < ₹ 500 crore,Board approved BCP; Annual Board review; Basic recovery procedures; Critical system identification
7.5,7. Smaller NBFCs (< ₹ 500 crore),Regulatory Reporting for Smaller NBFCs,IT systems shall be adequate to file regulatory returns to RBI,IT Operations,NBFCs with asset size < ₹ 500 crore,COSMOS returns capability; Accurate data reporting; Timely regulatory submissions; Data quality controls
