csp,unique_compliance_id,framework,control_id,title,missing_check_name,suggested_rule_id,priority,rule_type,notes
oracle,cis_oci_1.1,CIS_OCI,1.1,Ensure service level admins are created to manage resources  of particular service,aws_iam_service_admins_access_control_check,aws.iam.service.admins_access_control_check,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_1.2,CIS_OCI,1.2,Ensure permissions on all resources are given only to the  tenancy administrator group,aws_iam_policy_admin_group_only,aws.iam.policy.admin_group_only,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_1.4,CIS_OCI,1.4,Ensure IAM password policy requires minimum length of 14 or  greater,aws_iam_password_policy_minimum_length_enforced,aws.iam.password.policy_minimum_length_enforced,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_1.7,CIS_OCI,1.7,Ensure MFA is enabled for all users with a console password,aws_iam_users_mfa_enabled,aws.iam.users.mfa_enabled,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_1.8,CIS_OCI,1.8,Ensure user API keys rotate within 90 days,aws_iam_access_key_rotation_check,aws.iam.access.key_rotation_check,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_1.9,CIS_OCI,1.9,Ensure user customer secret keys rotate every 90 days,aws_iam_access_key_rotation_check,aws.iam.access.key_rotation_check,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_2.1.2,CIS_OCI,2.1.2,Ensure OKE service level admins are created to manage  OKE,aws_iam_group_policy_access_control,aws.iam.group.policy_access_control,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_2.3.2,CIS_OCI,2.3.2,Ensure that the audit policy covers key security concerns,aws_eks_audit_policy_compliance_check,aws.eks.audit.policy_compliance_check,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_3.1.1,CIS_OCI,3.1.1,Ensure that the oke_kubelet_conf.json file permissions are  set to 644 or more restrictive,aws_ssm_ec2_oke_kubelet_conf_permissions_check,aws.ssm.ec2.oke_kubelet_conf_permissions_check,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_3.2.11,CIS_OCI,3.2.11,Ensure that the --rotate-certificates argument is not set to  false,aws_ssm_kubelet_rotate_certificates_check,aws.ssm.kubelet.rotate_certificates_check,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_3.2.2,CIS_OCI,3.2.2,Ensure that the --authorization-mode argument is not set to  AlwaysAllow,aws_eks_kubelet_authorization_mode_check,aws.eks.kubelet.authorization_mode_check,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_3.3,CIS_OCI,3.3,Ensure In-transit Encryption is enabled on Compute Instance,aws_ec2_ebs_encryption_enabled,aws.ec2.ebs.encryption_enabled,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_4.10,CIS_OCI,4.10,Ensure a notification is configured for security list changes,aws_eventbridge_security_group_changes_notification_configured,aws.eventbridge.security.group_changes_notification_configured,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_4.12,CIS_OCI,4.12,Ensure a notification is configured for changes to network  gateways,aws_cloudtrail_network_gateway_event_notifications_configured,aws.cloudtrail.network.gateway_event_notifications_configured,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_4.13,CIS_OCI,4.13,Ensure VCN flow logging is enabled for all subnets,aws_vpc_flow_logging_enabled_for_all_subnets,aws.vpc.flow.logging_enabled_for_all_subnets,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_4.8,CIS_OCI,4.8,Ensure a notification is configured for VCN changes,aws_eventbridge_vpc_change_notification,aws.eventbridge.vpc.change_notification,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_5.1.2,CIS_OCI,5.1.2,Ensure Object Storage Buckets are encrypted with a  Customer Managed Key (CMK).,aws_s3_bucket_encryption_cmk_enabled,aws.s3.bucket.encryption_cmk_enabled,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_5.2.1,CIS_OCI,5.2.1,Ensure Block Volumes are encrypted with Customer  Managed Keys (CMK).,aws_ebs_volume_customer_managed_key_encryption_enabled,aws.ebs.volume.customer_managed_key_encryption_enabled,1,config,Generated from compliance_agent check name; refine during rule development
oracle,cis_oci_5.4.3,CIS_OCI,5.4.3,Ensure clusters are created with Private Nodes,aws_eks_nodegroup_private_access_enabled,aws.eks.nodegroup.private_access_enabled,1,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_CA_9,FedRAMP_Moderate,CA-9,Internal System Connections,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_CP_9,FedRAMP_Moderate,CP-9,System Backup,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_CP_9_1,FedRAMP_Moderate,CP-9 (1),System Backup | Testing for Reliability and Integrity,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_CP_9_2,FedRAMP_Moderate,CP-9 (2),System Backup | Test Restoration Using Sampling,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_CP_9_3,FedRAMP_Moderate,CP-9 (3),System Backup | Separate Storage for Critical Information,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_CP_9_5,FedRAMP_Moderate,CP-9 (5),System Backup | Transfer to Alternate Storage Site,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_CP_9_8,FedRAMP_Moderate,CP-9 (8),System Backup | Cryptographic Protection,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_SC_13,FedRAMP_Moderate,SC-13,Cryptographic Protection,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_SC_13,FedRAMP_Moderate,SC-13,Cryptographic Protection,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,fedramp_moderate_SC_28,FedRAMP_Moderate,SC-28,Protection of Information at Rest,oracle_database_rds_instance_encryption_enabled,oci.database.rds.instance_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_1_ii_b,HIPAA,164_308_a_1_ii_b,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,oracle_awslambda_function_not_publicly_accessible,oci.awslambda.function.not_publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_1_ii_b,HIPAA,164_308_a_1_ii_b,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_1_ii_b,HIPAA,164_308_a_1_ii_b,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,oracle_redshift_cluster_audit_logging,oci.redshift.cluster.audit_logging,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_1_ii_d,HIPAA,164_308_a_1_ii_d,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,oracle_elb_logging_enabled,oci.elb.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_1_ii_d,HIPAA,164_308_a_1_ii_d,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,oracle_elbv2_logging_enabled,oci.elbv2.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_1_ii_d,HIPAA,164_308_a_1_ii_d,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,oracle_redshift_cluster_audit_logging,oci.redshift.cluster.audit_logging,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_3_i,HIPAA,164_308_a_3_i,164_308_a_3_i: 164.308(a)(3)(i) Workforce security,oracle_awslambda_function_not_publicly_accessible,oci.awslambda.function.not_publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_3_ii_a,HIPAA,164_308_a_3_ii_a,164_308_a_3_ii_a: 164.308(a)(3)(ii)(A) Authorization and/or supervision,oracle_elb_logging_enabled,oci.elb.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_3_ii_a,HIPAA,164_308_a_3_ii_a,164_308_a_3_ii_a: 164.308(a)(3)(ii)(A) Authorization and/or supervision,oracle_elbv2_logging_enabled,oci.elbv2.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_3_ii_a,HIPAA,164_308_a_3_ii_a,164_308_a_3_ii_a: 164.308(a)(3)(ii)(A) Authorization and/or supervision,oracle_redshift_cluster_audit_logging,oci.redshift.cluster.audit_logging,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_4_ii_a,HIPAA,164_308_a_4_ii_a,164_308_a_4_ii_a: 164.308(a)(4)(ii)(A) Isolating health care clearinghouse functions,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_4_ii_a,HIPAA,164_308_a_4_ii_a,164_308_a_4_ii_a: 164.308(a)(4)(ii)(A) Isolating health care clearinghouse functions,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_4_ii_a,HIPAA,164_308_a_4_ii_a,164_308_a_4_ii_a: 164.308(a)(4)(ii)(A) Isolating health care clearinghouse functions,oracle_redshift_cluster_audit_logging,oci.redshift.cluster.audit_logging,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_6_ii,HIPAA,164_308_a_6_ii,164_308_a_6_ii: 164.308(a)(6)(ii) Response and reporting,oracle_elb_logging_enabled,oci.elb.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_308_a_6_ii,HIPAA,164_308_a_6_ii,164_308_a_6_ii: 164.308(a)(6)(ii) Response and reporting,oracle_elbv2_logging_enabled,oci.elbv2.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_a_1,HIPAA,164_312_a_1,164_312_a_1: 164.312(a)(1) Access control,oracle_awslambda_function_not_publicly_accessible,oci.awslambda.function.not_publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_a_2_iv,HIPAA,164_312_a_2_iv,164_312_a_2_iv: 164.312(a)(2)(iv) Encryption and decryption,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_a_2_iv,HIPAA,164_312_a_2_iv,164_312_a_2_iv: 164.312(a)(2)(iv) Encryption and decryption,oracle_redshift_cluster_audit_logging,oci.redshift.cluster.audit_logging,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_b,HIPAA,164_312_b,164_312_b: 164.312(b) Audit controls,oracle_elb_logging_enabled,oci.elb.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_b,HIPAA,164_312_b,164_312_b: 164.312(b) Audit controls,oracle_elbv2_logging_enabled,oci.elbv2.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_b,HIPAA,164_312_b,164_312_b: 164.312(b) Audit controls,oracle_redshift_cluster_audit_logging,oci.redshift.cluster.audit_logging,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_e_1,HIPAA,164_312_e_1,164_312_e_1: 164.312(e)(1) Transmission security,oracle_awslambda_function_not_publicly_accessible,oci.awslambda.function.not_publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_e_1,HIPAA,164_312_e_1,164_312_e_1: 164.312(e)(1) Transmission security,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_e_2_ii,HIPAA,164_312_e_2_ii,164_312_e_2_ii: 164.312(e)(2)(ii) Encryption,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,hipaa_164_312_e_2_ii,HIPAA,164_312_e_2_ii,164_312_e_2_ii: 164.312(e)(2)(ii) Encryption,oracle_redshift_cluster_audit_logging,oci.redshift.cluster.audit_logging,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.5.1,ISO27001_2022,A.5.1,Policies for information security,oracle_securityhub_enabled,oci.securityhub.enabled.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.5.15,ISO27001_2022,A.5.15,Access Control,oracle_iam_role_kms_enforce_separation_of_duties,oci.iam.role.kms_enforce_separation_of_duties,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.5.15,ISO27001_2022,A.5.15,Access Control,oracle_iam_role_sa_enforce_separation_of_duties,oci.iam.role.sa_enforce_separation_of_duties,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.5.18,ISO27001_2022,A.5.18,Access Rights,oracle_iam_role_sa_enforce_separation_of_duties,oci.iam.role.sa_enforce_separation_of_duties,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.5.3,ISO27001_2022,A.5.3,Segregation of Duties,oracle_iam_role_kms_enforce_separation_of_duties,oci.iam.role.kms_enforce_separation_of_duties,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.5.3,ISO27001_2022,A.5.3,Segregation of Duties,oracle_identity_securityaudit_role_created,oci.identity.securityaudit.role_created,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.5.3,ISO27001_2022,A.5.3,Segregation of Duties,oracle_iam_role_sa_enforce_separation_of_duties,oci.iam.role.sa_enforce_separation_of_duties,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.1,ISO27001_2022,A.8.1,User Endpoint Devices,oracle_app_function_not_publicly_accessible,oci.app.function.not_publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.1,ISO27001_2022,A.8.1,User Endpoint Devices,oracle_containerregistry_not_publicly_accessible,oci.containerregistry.not.publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.1,ISO27001_2022,A.8.1,User Endpoint Devices,oracle_aisearch_service_not_publicly_accessible,oci.aisearch.service.not_publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.1,ISO27001_2022,A.8.1,User Endpoint Devices,oracle_awslambda_function_not_publicly_accessible,oci.awslambda.function.not_publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.11,ISO27001_2022,A.8.11,Data Masking,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.11,ISO27001_2022,A.8.11,Data Masking,oracle_bigquery_table_cmk_encryption,oci.bigquery.table.cmk_encryption,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.12,ISO27001_2022,A.8.12,Data Leakage Prevention,oracle_redshift_cluster_in_transit_encryption_enabled,oci.redshift.cluster.in_transit_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.12,ISO27001_2022,A.8.12,Data Leakage Prevention,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.14,ISO27001_2022,A.8.14,Redundancy of information processing facilities,oracle_redshift_cluster_multi_az_enabled,oci.redshift.cluster.multi_az_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.14,ISO27001_2022,A.8.14,Redundancy of information processing facilities,oracle_opensearch_service_domains_fault_tolerant_data_nodes,oci.opensearch.service.domains_fault_tolerant_data_nodes,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.14,ISO27001_2022,A.8.14,Redundancy of information processing facilities,oracle_elb_is_in_multiple_az,oci.elb.is.in_multiple_az,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.14,ISO27001_2022,A.8.14,Redundancy of information processing facilities,oracle_elbv2_is_in_multiple_az,oci.elbv2.is.in_multiple_az,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.14,ISO27001_2022,A.8.14,Redundancy of information processing facilities,oracle_opensearch_service_domains_fault_tolerant_master_nodes,oci.opensearch.service.domains_fault_tolerant_master_nodes,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.15,ISO27001_2022,A.8.15,Logging,oracle_glue_data_catalogs_not_publicly_accessible,oci.glue.data.catalogs_not_publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.15,ISO27001_2022,A.8.15,Logging,oracle_elbv2_logging_enabled,oci.elbv2.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.15,ISO27001_2022,A.8.15,Logging,oracle_logging_sink_created,oci.logging.sink.created,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.15,ISO27001_2022,A.8.15,Logging,oracle_elb_logging_enabled,oci.elb.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.15,ISO27001_2022,A.8.15,Logging,oracle_keyvault_logging_enabled,oci.keyvault.logging.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.15,ISO27001_2022,A.8.15,Logging,oracle_redshift_cluster_audit_logging,oci.redshift.cluster.audit_logging,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.15,ISO27001_2022,A.8.15,Logging,oracle_opensearch_service_domains_monitoring_logging_enabled,oci.opensearch.service.domains_monitoring_logging_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.16,ISO27001_2022,A.8.16,Monitoring Activities,oracle_logging_sink_created,oci.logging.sink.created,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.2,ISO27001_2022,A.8.2,Privileged Access Rights,oracle_iam_role_kms_enforce_separation_of_duties,oci.iam.role.kms_enforce_separation_of_duties,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.2,ISO27001_2022,A.8.2,Privileged Access Rights,oracle_iam_role_sa_enforce_separation_of_duties,oci.iam.role.sa_enforce_separation_of_duties,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.20,ISO27001_2022,A.8.20,Network Security,oracle_containerregistry_not_publicly_accessible,oci.containerregistry.not.publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.21,ISO27001_2022,A.8.21,Security of Network Services,oracle_containerregistry_not_publicly_accessible,oci.containerregistry.not.publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.22,ISO27001_2022,A.8.22,Segregation of Networks,oracle_containerregistry_not_publicly_accessible,oci.containerregistry.not.publicly_accessible,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.23,ISO27001_2022,A.8.23,Web Filtering,oracle_securityhub_enabled,oci.securityhub.enabled.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.24,ISO27001_2022,A.8.24,Use of Cryptography,oracle_redshift_cluster_in_transit_encryption_enabled,oci.redshift.cluster.in_transit_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.24,ISO27001_2022,A.8.24,Use of Cryptography,oracle_opensearch_service_domains_encryption_at_rest_enabled,oci.opensearch.service.domains_encryption_at_rest_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.24,ISO27001_2022,A.8.24,Use of Cryptography,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,iso27001_2022_A.8.3,ISO27001_2022,A.8.3,Information Access Restriction,oracle_accessanalyzer_enabled,oci.accessanalyzer.enabled.enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_24_1,NIST_800_53,AC-24(1),Access Control Decisions - Access control decisions | transmit access authorization information transmit [,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_1,NIST_800_53,AC-4(1),Information Flow Enforcement - Information flow enforcement | object security and privacy attributes use [ assi,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_10,NIST_800_53,AC-4(10),Information Flow Enforcement - Information flow enforcement | enable and disable security or privacy policy fil,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_11,NIST_800_53,AC-4(11),Information Flow Enforcement - Information flow enforcement | configuration of security or privacy policy filte,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_12,NIST_800_53,AC-4(12),Information Flow Enforcement - Information flow enforcement | data type identifiers when transferring informati,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_13,NIST_800_53,AC-4(13),Information Flow Enforcement - Information flow enforcement | decomposition into policy - relevant subcomponent,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_14,NIST_800_53,AC-4(14),Information Flow Enforcement - Information flow enforcement | security or privacy policy filter constraints whe,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_15,NIST_800_53,AC-4(15),Information Flow Enforcement - Information flow enforcement | detection of unsanctioned information when transf,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_16,NIST_800_53,AC-4(16),Information Flow Enforcement - Information flow enforcement | information transfers on interconnected systems [,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_17,NIST_800_53,AC-4(17),"Information Flow Enforcement - Information flow enforcement | domain authentication nist sp 800-53, r ev",oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_18,NIST_800_53,AC-4(18),Information Flow Enforcement - Information flow enforcement | security attribute binding [withdrawn,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_19,NIST_800_53,AC-4(19),Information Flow Enforcement - Information flow enforcement | validation of metadata when transferring informat,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_2,NIST_800_53,AC-4(2),Information Flow Enforcement - Information flow enforcement | processing domains use protected processing domai,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
oracle,nist_800_53_rev5_AC_4_20,NIST_800_53,AC-4(20),Information Flow Enforcement - Information flow enforcement | approved solutions employ [ assignment,oracle_opensearch_service_domains_node_to_node_encryption_enabled,oci.opensearch.service.domains_node_to_node_encryption_enabled,2,config,Generated from compliance_agent check name; refine during rule development
