check_name,category,matched_rule_ids,confidence,reasoning
azure_active_directory_aws_attached_policy_no_administrative_privileges,wrong_csp[aws_],,,check contains non-azure service markers
azure_awslambda_function_not_publicly_accessible,"wrong_csp[awslambda,lambda_]",,,check contains non-azure service markers
azure_sql_instance_integration_cloudwatch_logs,wrong_csp[cloudwatch],,,check contains non-azure service markers
azure_virtual_network_endpoint_for_ec2_enabled,wrong_csp[ec2_],,,check contains non-azure service markers
azure_active_directory_customer_attached_policy_no_administrative_privileges,deep_review,,none,"The check name refers to restricting administrative privileges in a customer-attached policy, but none of the candidates address administrative privilege controls in Azure AD policies."
azure_active_directory_inline_policy_no_administrative_privileges,deep_review,,none,"The check name is about restricting administrative privileges in Azure AD inline policies, but all candidates focus on password policies, backup, or general policy assignments, not privilege management."
azure_active_directory_user_accesskey_unused,deep_review,azure.ad.user.role.check.disabled,low,"The check name focuses on unused access keys in Azure AD, while the candidate rule is about disabled user role checks, which is related to access management but not directly about detecting or removing unused credentials."
azure_active_directory_user_console_access_unused,deep_review,azure.aad.user.access_user_in90_days_disabled,high,Both the compliance check and the candidate rule focus on disabling or managing unused user accounts to prevent stale access.
azure_aks_cluster_uses_a_supported_version,deep_review,azure.kubernetes.addon.containers_version_pinned_and_supported,medium,"Both controls focus on ensuring that Kubernetes-related components (AKS cluster version and container addon versions) are supported, though they target different specific resources."
azure_aks_endpoints_not_publicly_accessible,deep_review,azure.aks.cluster.private.cluster.enabled,medium,"Both controls aim to restrict public access to AKS clusters, but the check name focuses on endpoints while the rule enforces private cluster configuration."
azure_api_management_api_gateway_https_required,deep_review,azure.cdn.endpoint.https_required,medium,"Both controls enforce HTTPS usage for secure communication, but one is for API Management and the other for CDN endpoints, making them conceptually similar but not identical."
azure_api_management_authorization_enabled,deep_review,,none,"The check name refers to enabling authorization in Azure API Management, but none of the candidates directly address authorization controls for API Management services."
azure_api_management_client_certificate_enabled,deep_review,,none,"The check name is about enabling client certificates for API Management, but all candidates are about logging, validation, rate limiting, or API versioning, which are unrelated security controls."
azure_api_management_restapi_client_certificate_enabled,deep_review,,none,"The check name is about enabling client certificates for API Management REST APIs, but all candidates focus on monitoring, validation, rate limiting, or logging, which are unrelated security controls."
azure_api_management_restapi_tracing_enabled,deep_review,azure.api.management_monitoring.monitoring_api_access_logging_enabled,medium,"Both controls focus on enabling logging/tracing for API access in Azure API Management, though 'tracing' and 'access logging' are slightly different terms for the same monitoring concept."
azure_app_function_access_keys_configured,deep_review,azure.function.app.function_url_authentication,medium,"Both controls focus on securing access to Azure Functions, with the check name emphasizing access keys and the candidate rule emphasizing URL authentication, which are related mechanisms for controlling function access."
azure_app_function_not_publicly_accessible,deep_review,,none,"None of the candidates directly address public accessibility restrictions for Azure App Functions, focusing instead on TLS, authentication, or other unrelated controls."
azure_appsync_field_level_logging_enabled,deep_review,azure.api.management_monitoring.monitoring_api_execution_logging_level_minimum_error,medium,"Both controls focus on enabling detailed API-level logging (field-level for AppSync vs. API execution logging for API Management), which are conceptually similar but for different Azure services."
azure_cdn_distributions_custom_ssl_certificate,deep_review,azure.cdn.profile.edge_valid_trusted_certificate_attached,medium,"Both the check name and the candidate focus on ensuring valid SSL certificates are used in Azure CDN, though the check name specifies 'custom SSL certificate' while the candidate refers to 'valid trusted certificate attached'."
azure_cdn_distributions_origin_traffic_encrypted,deep_review,,none,"The check name is about encrypting origin traffic in Azure CDN, but none of the candidates address encryption of traffic between CDN and origin, focusing instead on access, logging, or unrelated services."
azure_compute_instance_imdsv2_enabled,deep_review,,none,"The check name is about IMDSv2 enforcement for Azure compute instances, but none of the candidates address Instance Metadata Service version control."
azure_databricks_pat_compliance_check,deep_review,azure.databricks.scim.sync.verification,medium,"The check name 'azure_databricks_pat_compliance_check' likely refers to Personal Access Token (PAT) management in Azure Databricks, which is related to identity and access control, similar to SCIM synchronization for user provisioning."
azure_devops_project_no_secrets_in_variables,deep_review,,none,"The check name is about preventing secrets in Azure DevOps project variables, but none of the candidates address this specific control; most are about Key Vault secrets management or unrelated DevOps activity logs."
azure_devops_project_source_repo_url_no_sensitive_credentials,deep_review,azure.dns.health_probe.health_check_no_plaintext_credentials_in_url,medium,"Both controls focus on preventing sensitive credentials from being exposed in URLs, though they apply to different Azure services (DevOps project source repos vs DNS health probes)."
azure_eip_attached,deep_review,,none,"The check name 'azure_eip_attached' likely refers to Elastic IP (public IP) attachment in Azure, but none of the candidates address public IP attachment or related network addressing controls."
azure_elastic_san_volume_group_encryption_at_rest_with_cmk,deep_review,azure.storage.disk.data_protection_volume_encryption_at_rest_enabled,medium,"Both controls enforce encryption at rest for storage volumes, though one specifies Elastic SAN volume groups and the other general storage disks."
azure_entra_group_has_users,deep_review,azure.aad.group.access_group_no_inline_policies,medium,"The check name 'azure_entra_group_has_users' suggests verifying groups have members, which aligns with ensuring groups are not empty or misconfigured, similar to enforcing proper group structure as in the candidate about access groups without inline "
azure_entra_no_root_access_key,deep_review,azure.storage.account.disable.shared.key.access.check;azure.storage.account.shared.key.access.disabled.check,medium,"The check name refers to preventing root access keys, which aligns with disabling shared key access for storage accounts, though the phrasing differs slightly."
azure_entra_password_policy_compliance,deep_review,azure.aad.directory_tenant.access_tenant_password_policy_compliant,high,"This rule directly addresses password policy compliance for the Azure AD tenant, which matches the control described in the compliance check name."
azure_entra_policy_ensure_default_user_cannot_create_apps,deep_review,azure.entra.id.user.app.registration.disabled,medium,"The check name is about preventing default users from creating apps, and the candidate rule is about disabling user app registration, which is the same concept of restricting app creation by users."
azure_entra_policy_ensure_default_user_cannot_create_tenants,deep_review,,none,"The check name is about preventing default users from creating Azure tenants, but none of the candidates address tenant creation or default user restrictions."
azure_entra_security_defaults_enabled,deep_review,,none,"The check name is about Entra ID (formerly Azure AD) security defaults, but none of the candidates directly address this specific identity and access management control."
azure_entra_user_group_membership,deep_review,azure.iam.entra_audit.group_member_add,high,"The check name 'azure_entra_user_group_membership' directly relates to monitoring changes in group memberships, which is exactly what the candidate rule 'azure.iam.entra_audit.group_member_add' does by auditing user additions to groups."
azure_entra_user_in_group,deep_review,azure.iam.entra_audit.group_member_add,high,"The check name 'azure_entra_user_in_group' directly corresponds to monitoring user additions to groups, which is exactly what the candidate rule 'azure.iam.entra_audit.group_member_add' audits."
azure_entra_user_unused_credentials,deep_review,,none,"The check name is about detecting unused credentials, but none of the candidates address credential usage or inactivity monitoring."
azure_files_encryption_at_rest_enabled,deep_review,azure.storage.account.encryption.at.rest.with.cmk,high,"Azure Files is a service within Azure Storage, and this rule directly addresses encryption at rest for storage accounts, which includes Azure Files."
azure_functions_function_not_publicly_accessible,deep_review,azure.function.app.function_url_authentication,medium,"The check name focuses on preventing public access to Azure Functions, which aligns with enforcing authentication on function URLs to restrict unauthorized access."
azure_load_balancer_alb_https_redirect,deep_review,,none,"The check name is about HTTPS redirect for an Azure Load Balancer, but none of the candidates address redirect functionality; they focus on TLS versions, WAF, logs, or HTTPS-only settings for other services."
azure_load_balancer_desync_mitigation_mode,deep_review,,none,"The compliance check is about load balancer desync mitigation mode, but none of the candidates address TCP/IP packet handling or desync attack prevention."
azure_netappfiles_encryption_key_source_cmk_check,deep_review,azure.netapp.volumes.encryption.cmk.enabled,none,"The check name specifically targets Azure NetApp Files encryption with customer-managed keys, but none of the provided candidates address Azure NetApp Files, focusing instead on other services like backup, compute disks, or storage accounts."
azure_network_network_acl_unused,deep_review,azure.network.network_acl.nacl_no_allow_all_rules,medium,"Both focus on restricting overly permissive network ACLs, though 'unused' implies detecting idle ACLs while 'no_allow_all_rules' targets permissive configurations, representing the same security concept of minimizing unnecessary or risky network acce"
azure_notification_hubs_topics_kms_encryption_at_rest_enabled,deep_review,azure.event.event_hub.encryption_at_rest_enabled,medium,"Both controls enforce encryption at rest for messaging services, with the check name specifying Notification Hubs/Topics and the candidate covering Event Hubs, representing the same concept under Azure messaging."
azure_organizations_account_part_of_organizations,deep_review,,none,"The check name refers to Azure accounts being part of an organization (likely Azure AD tenant or management group), but none of the candidates address organizational membership or governance."
azure_public_ip_attached,deep_review,azure.network.public.ip.list.and.review,medium,"The check name 'azure_public_ip_attached' suggests monitoring for public IP attachments, which aligns with the candidate's focus on listing and reviewing public IPs, though it's more about inventory than direct enforcement."
azure_redshift_backup_enabled,deep_review,azure.cosmos.database.backup_enabled,medium,"Both controls enforce backup for a specific database service, but the check name references Redshift (AWS) while the candidate is for Cosmos DB (Azure), indicating the same concept with different service names."
azure_search_service_domains_https_communications_enforced,deep_review,azure.search.service.domains_node_to_node_encryption_enabled,medium,"Both controls enforce secure communication, with the check name focusing on HTTPS and the candidate on node-to-node encryption, which are conceptually similar for securing data in transit."
azure_shield_advanced_protection_in_internet_facing_load_balancers,deep_review,azure.security.defender.arm_protection_enabled,low,"The check name refers to advanced protection for internet-facing load balancers, which is conceptually related to Azure Defender for ARM (which includes DDoS protection), but none of the candidates directly address load balancer-specific advanced thr"
azure_sql_instance_enhanced_monitoring_enabled,deep_review,azure.vm.instance.detailed_monitoring_enabled,medium,"Both controls focus on enabling enhanced/detailed monitoring, though one is for SQL instances and the other is for VM instances, representing the same concept with different target resources."
azure_storage_bucket_cross_region_replication,deep_review,azure.storage.table.data_protection_global_cross_region_replication_encrypted,high,"Both the check name and the rule directly address cross-region replication for Azure storage, with the rule specifically covering global replication and encryption, which aligns with the core control."
azure_storage_bucket_enforces_ssl,deep_review,azure.storage.sas.https.only.check,high,"Both the check name and the rule enforce SSL/TLS (HTTPS) for secure access to Azure storage, ensuring data in transit is encrypted."
azure_storage_bucket_lifecycle_enabled,deep_review,,none,"The check name refers to storage bucket lifecycle management, but none of the candidates address lifecycle policies for storage objects or buckets."
azure_storage_bucket_replication_enabled,deep_review,azure.storage.account.cross.tenant.replication.disabled,medium,"The check name refers to bucket replication, which is conceptually similar to cross-tenant replication in Azure Storage, though the phrasing differs."
azure_storage_immutable_blob_enabled,deep_review,,none,"The check name is about immutable blob storage (WORM policy), but none of the candidates directly address immutability; the closest are versioning and soft delete, which are related data protection features but not the same control."
azure_vm_scale_set_configured,deep_review,,none,"The check name 'azure_vm_scale_set_configured' is too generic and does not specify a security control, while all candidates target specific security features like MFA, backups, or extensions."
azure_vm_securitygroup_default_restricted,deep_review,azure.compute.virtual_machine.vm_security_group_inbound_restricted,high,Both the compliance check name and the candidate rule directly address restricting inbound traffic via security groups for Azure VMs.
azure_vm_securitygroup_rdp_restricted,deep_review,azure.compute.virtual_machine.vm_security_group_inbound_restricted,high,"Both the compliance check and the catalog rule directly address restricting inbound network access via security groups, specifically for RDP in the check and generally for inbound traffic in the rule."
azure_vm_securitygroup_ssh_restricted,deep_review,azure.compute.virtual_machine.vm_security_group_inbound_restricted,high,Both the compliance check name and the candidate rule directly address restricting inbound network access (specifically SSH) via security groups on Azure VMs.
azure_vm_stopped_instance,deep_review,,none,"The compliance check 'azure_vm_stopped_instance' refers to ensuring virtual machines are stopped to avoid unnecessary costs or security exposure, while all candidates are about monitoring, management, backup, or security features of running VMs."
azure_vm_volume_in_use,deep_review,azure.compute.virtual_machine.vm_root_volume_encrypted_cmek,medium,"The check name 'azure_vm_volume_in_use' suggests a focus on VM volumes, and the candidate rule specifically addresses root volume encryption, which is a related security control for volumes in use."
azure_wafv2_web_acl_logging_enabled,deep_review,azure.monitor.resource.logging.enabled.check,medium,"The check name is about enabling logging for WAFv2 web ACLs, which is a specific case of resource logging, matching the general logging enforcement in the candidate."
