control_id,top_req,cspm_scope,title,source
1.2.2,1,yes,All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.,"azure,local_json,pdf"
1.2.4,1,yes,An accurate data-flow diagram(s) is maintained that meets the following: • Shows all account data flows across systems and networks. • Updated as needed upon changes to the environment.,"azure,local_json,pdf"
3.2.1,3,yes,"A formal data retention policy identifies what data needs to be retained, for how long, and where that data resides so it can be securely destroyed or deleted as soon as it is no longer needed. The only account data that","azure,local_json,pdf"
3.5.1.1,3,yes,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1) are keyed cryptographic hashes of the entire PAN, with associated key management processes and procedures in accordance with Requirements 3","azure,local_json,pdf"
3.7.9,3,yes,"3.7.9 Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure transmission, storage and upd","azure,local_json,pdf"
5.2.1,5,yes,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malw","azure,local_json"
5.3.2.1,5,yes,"If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.","azure,local_json,pdf"
5.3.4,5,yes,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,"azure,local_json,pdf"
6.3.1,6,yes,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts from international ","azure,local_json,pdf"
6.3.3,6,yes,All system components are protected from known vulnerabilities by installing applicable security patches/updates as follows: • Patches/updates for critical vulnerabilities (identified according to the risk ranking proces,"azure,local_json,pdf"
6.5.2,6,yes,"6.5.2 Upon completion of a significant change, all applicable PCI DSS requirements are confirmed to be in place on all new or changed systems and networks, and documentation is updated as applicable.","azure,local_json,pdf"
7.2.4,7,yes,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appropriate based on job ","azure,local_json,pdf"
7.2.6,7,yes,"All user access to query repositories of stored cardholder data is restricted as follows:   • Via applications or other programmatic methods, with access and allowed actions based on user roles and least privileges.   • ","azure,local_json,pdf"
8.2.2,8,yes,"Group, shared, or generic IDs, or other shared authentication credentials are only used when necessary on an exception basis, and are managed as follows: • ID use is prevented unless needed for an exceptional circumstanc","azure,local_json,pdf"
8.2.3,8,yes,Additional requirement for service providers only: Service providers with remote access to customer premises use unique authentication factors for each customer premises.,"azure,local_json,pdf"
8.3.1,8,yes,"All user access to system components for users and administrators is authenticated via at least one of the following authentication factors: • Something you know, such as a password or passphrase. • Something you have, s","azure,local_json,pdf"
8.3.2,8,yes,Strong cryptography is used to render all authentication factors unreadable during transmission and storage on all system components.,"azure,local_json,pdf"
8.3.5,8,yes,"If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they are set and reset for each user as follows: • Set to a unique value for first-time use and upon reset. • Forced to be changed im","azure,local_json,pdf"
8.3.6,8,yes,"If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they meet the following minimum level of complexity: • A minimum length of 12 characters (or if the system does not support 12 charac","azure,local_json,pdf"
8.3.10.1,8,yes,"Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access, then either: • Passwords/passphrases are changed at least once every 90 day","azure,local_json,pdf"
8.6.2,8,yes,"Passwords/passphrases for any application and system accounts that can be used for interactive login must not be hard coded in scripts, configuration/property files, or bespoke/custom source code.","azure,local_json"
9.4.6,9,no-physical,"Hard-copy materials with cardholder data are destroyed when no longer needed for business or legal reasons, as follows: cross-cut shredded, incinerated, or pulped; stored in secure containers prior to destruction.","azure,local_json"
9.4.7,9,no-physical,Electronic media with cardholder data is destroyed when no longer needed for business or legal reasons via one of the following: the electronic media is destroyed or the cardholder data is rendered unrecoverable so that ,"azure,local_json,pdf"
9.5.1.2.1,9,no-physical,"The frequency of periodic POI device inspections and the type of inspections performed is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.","azure,local_json"
10.2.2,10,yes,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected data, system compone","azure,local_json,pdf"
10.4.2.1,10,yes,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requi","azure,local_json,pdf"
10.6.1,10,yes,System clocks and time are synchronized using time-synchronization technology.,"azure,local_json,pdf"
10.7.1,10,yes,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security cont","azure,local_json,pdf"
11.3.1.1,11,yes,"All other applicable vulnerabilities (those not ranked as high-risk or critical) are managed as follows: • Addressed based on the risk defined in the entity’s targeted risk analysis, performed according to Requirement 12","azure,local_json,pdf"
11.3.1.3,11,yes,Internal vulnerability scans are performed after any significant change as follows: • Vulnerabilities that are either high-risk or critical (according to the entity’s vulnerability risk rankings defined at Requirement 6.,"azure,local_json,pdf"
11.4.1,11,yes,"A penetration testing methodology is defined, documented, and implemented by the entity, and includes: • Industry-accepted penetration testing approaches. • Coverage for the entire CDE perimeter and critical systems. • T","azure,local_json,pdf"
11.4.6,11,yes,"Additional requirement for service providers only: If segmentation is used to isolate the CDE from other networks, penetration tests are performed on segmentation controls as follows: • At least once every six months and","azure,local_json,pdf"
11.4.7,11,yes,Additional requirement for multi-tenant service providers only: Multi-tenant service providers support their customers for external penetration testing per Requirement 11.4.3 and 11.4.4.,"azure,local_json,pdf"
12.1.1,12,no-policy,"An overall information security policy is established, published, maintained, and disseminated to all relevant personnel, as well as relevant vendors and business partners.","azure,local_json,pdf"
12.2.1,12,no-policy,"Acceptable use policies for end-user technologies are documented and implemented, including: • Explicit approval by authorized parties. • Acceptable uses of the technology. • List of products approved by the company for ","azure,local_json,pdf"
12.3.2,12,no-policy,"A targeted risk analysis is performed for each PCI DSS requirement that the entity meets with the customized approach, to include: • Documented evidence detailing each element specified in Appendix D: Customized Approach","azure,local_json,pdf"
12.4.2.1,12,no-policy,Reviews conducted in accordance with Requirement 12.4.2 are documented to include: • Results of the reviews. • Documented remediation actions taken for any tasks that were found to not be performed at Requirement 12.4.2.,"azure,local_json,pdf"
12.5.2.1,12,no-policy,"PCI DSS scope is documented and confirmed by the entity at least once every six months and upon significant change to the in-scope environment. At a minimum, the scoping validation includes all the elements specified in ","azure,local_json,pdf"
12.6.3.2,12,no-policy,Security awareness training includes awareness about the acceptable use of end-user technologies in accordance with Requirement 12.2.1.,"azure,local_json,pdf"
12.10.1,12,no-policy,"An incident response plan exists and is ready to be activated in the event of a suspected or confirmed security incident. The plan includes, but is not limited to: • Roles, responsibilities, and communication and contact","azure,local_json,pdf"
12.10.2,12,no-policy,"At least once every 12 months, the security incident response plan is: • Reviewed and the content is updated as needed. • Tested, including all elements listed in Requirement 12.10.1.","azure,local_json,pdf"
A1.1.1,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.1.2,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.1.3,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.1.4,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.2.1,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.2.2,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.2.3,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A2.1.1,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A2.1.2,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A2.1.3,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.1.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.2.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.3,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.4,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.5.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.5.2,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.6.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.3.1.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.3.2,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.3.3,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.4.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.5,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
