control_id,top_req,cspm_scope,title,source,aws_checks,aws_match_confidence,azure_checks,azure_match_confidence,gcp_checks,gcp_match_confidence,oracle_checks,oracle_match_confidence,ibm_checks,ibm_match_confidence,alicloud_checks,alicloud_match_confidence,k8s_checks,k8s_match_confidence,aws_ciem_checks,azure_ciem_checks,gcp_ciem_checks,oracle_ciem_checks,ibm_ciem_checks,alicloud_ciem_checks,k8s_ciem_checks
8.2.3,8,yes,Additional requirement for service providers only: Service providers with remote access to customer premises use unique authentication factors for each customer premises.,"azure,local_json,pdf",aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.compute.instance.instance_default_service_account_in_use_access,0.43,ibm.iam.activity.service_id_locked;ibm.iam_policy_management.policy.service_level_scope_defined,0.40,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.unique.service_account_per_user;k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted,0.60,,,,,,,
8.3.1,8,yes,"All user access to system components for users and administrators is authenticated via at least one of the following authentication factors: • Something you know, such as a password or passphrase. • Something you have, s","azure,local_json,pdf",aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.secretsmanager.secret.rbac_least_privilege,0.75,azure.keyvault.secret.access_rbac_least_privilege;azure.ad.role.least_privilege;azure.policy.definition.identity_access_rbac_conditions_used_where_applicable,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.user.policy;oci.identity.user.role_least_privilege_required;oci.identity.user.password_policy_uppercase,0.75,ibm.iam_identity.account.access_token_expiration_configured,0.50,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.rbac.user.access_review_policy_implemented;k8s.role.permission.secrets_access_restricted,0.60,,,,,,,
8.3.2,8,yes,Strong cryptography is used to render all authentication factors unreadable during transmission and storage on all system components.,"azure,local_json,pdf",aws.s3.bucket.storage_encrypted_and_private;aws.s3.bucket.object_versioning_configured;aws.ebs.volume.snapshots_encrypted,0.40,azure.storage.bucket.object.versioning;azure.storage.disk.data_protection_volume_snapshots_encrypted;azure.storage.blob.data_protection_object_not_publicly_readable,0.60,gcp.storage.object.object_not_publicly_readable;gcp.storage.object.object_encrypted_at_rest;gcp.storage.bucket.bucket_versioning_enabled,0.40,oci.object_storage.bucket.storage_bucket_object_versioning;oci.object_storage.bucket.storage_accounts;oci.object_storage.storage.bucket_lifecycle_enabled,0.50,ibm.object_storage.bucket.versioning_enabled;ibm.object_storage.bucket.ssl_enforced;ibm.object_storage.bucket.no_public_access,0.43,alicloud.ecs.ebs.volume_encryption,0.40,k8s.storage.volume.snapshot_enabled;k8s.storage.volume.backup_policy_defined;k8s.storage.volume.backup_enabled,0.40,,,,,,,
8.3.5,8,yes,"If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they are set and reset for each user as follows: • Set to a unique value for first-time use and upon reset. • Forced to be changed im","azure,local_json,pdf",aws.iam.user.password_policy_exists;aws.iam.user.password_requires_change,refined,azure.aad.user.password_policy_exists;azure.aad.user.force_password_change,refined,gcp.iam.user.password_policy_exists;gcp.iam.user.password_requires_reset,refined,oci.identity.user.user_in_group;oci.identity.user.user_has_mfa;oci.identity.user.storage_is_on,0.50,ibm.iam.user.password_policy_exists;ibm.iam.user.force_password_reset,refined,alicloud.ram.user.password_policy_exists;alicloud.ram.user.password_requires_change,refined,k8s.rbac.user.unique_identifiers;k8s.rbac.unique.service_account_per_user,0.40,,,,,,,
8.3.6,8,yes,"If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they meet the following minimum level of complexity: • A minimum length of 12 characters (or if the system does not support 12 charac","azure,local_json,pdf","SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",0.00,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",0.00,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",0.00,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",0.00,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",0.00,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",0.00,"SKIP: Password complexity is managed by an external identity provider or system, not a Kubernetes resource configuration.",0.00,,,,,,,
8.3.10.1,8,yes,"Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access, then either: • Passwords/passphrases are changed at least once every 90 day","azure,local_json,pdf",aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.policy.definition.identity_access_rbac_conditions_used_where_applicable;azure.backup.policy.access_backup_vault_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.user.policy;oci.identity.user.role_least_privilege_required;oci.identity.user.user_with_vm_access_has_mfa,0.75,ibm.iam_identity.account.service_id_creation_restricted;ibm.iam.activity.service_id_locked;ibm.iam_policy_management.policy.service_level_scope_defined,0.43,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.unique.service_account_per_user;k8s.rbac.role.least_privilege_enforced;k8s.rbac.user.access_review_policy_implemented,0.60,,,,,,,
8.6.2,8,yes,"Passwords/passphrases for any application and system accounts that can be used for interactive login must not be hard coded in scripts, configuration/property files, or bespoke/custom source code.","azure,local_json","SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",0.00,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",0.00,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",0.00,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",0.00,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",0.00,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",0.00,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",0.00,,,,,,,
10.2.2,10,yes,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected data, system compone","azure,local_json,pdf",aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.logs.s3_bucket_access_logging_enabled,0.57,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.log.logging_enabled,0.50,NEW: gcp.logging.sink.filter_attributes,0.00,oci.identity.user.audit_logs_enabled;oci.identity.user.user_in_group;oci.identity.user.user_has_mfa,0.67,ibm.iam.user.audit_logs_enabled;ibm.activity_tracker.trail.logs_centralized_and_encrypted;ibm.cos.bucket.logging_enabled,refined,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,0.40,k8s.rbac.user.identity_audit_enabled;k8s.audit.user.activity_logging_enabled;k8s.audit.policy.system_level_event_logging,0.50,NEW: aws.cloudtrail.activity_log.critical_event_missing;aws.cloudtrail.audit.privileged_action_anomaly,NEW: azure.monitor.activity_log.audit_gap_detection;azure.aad.audit.signin_chain_evasion,NEW: gcp.audit_log.activity_log.integrity_check;gcp.iam.chain.privilege_escalation_pattern,NEW: oci.audit.service.retention_breach;oci.iam.audit.admin_bypass,NEW: ibm.activity_tracker.audit.log_tampering;ibm.iam.chain.defense_evasion,NEW: alicloud.actiontrail.activity_log.critical_gap;alicloud.ram.audit.privileged_anomaly,NEW: k8s.audit_log.activity_log.cluster_admin_evasion;k8s.rbac.chain.persistence_pattern
10.4.2.1,10,yes,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requi","azure,local_json,pdf",aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.logs.s3_bucket_access_logging_enabled,0.57,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.log.logging_enabled,0.50,PARTIAL: gcp.logging.sink.log_export_enabled | verifies log export configuration exists but does not validate review frequency or risk analysis process,0.00,oci.logging.log_group.log_analysis_enabled;oci.audit.configuration.logging_enabled;oci.audit.configuration.logs_s3_bucket_access_logging_enabled,0.43,PARTIAL: ibm.activity_tracker.route.log_export_enabled | verifies log export configuration exists but does not validate review frequency or risk analysis process,0.00,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,0.40,k8s.audit.log.analysis_mechanism;k8s.audit.log.analysis_configured;k8s.audit.risk.analysis_policy_configured,0.60,NEW: aws.cloudtrail.activity_log.periodic_review;aws.cloudtrail.audit.privileged_action_anomaly,NEW: azure.monitor.activity_log.audit_gap;azure.security.audit.defense_evasion_chain,NEW: gcp.logging.activity_log.audit_frequency;gcp.iam.chain.privilege_escalation,NEW: oci.audit.activity_log.anomalous_access;oci.iam.chain.credential_theft,NEW: ibm.activity_tracker.audit.config_change_chain,NEW: alicloud.actiontrail.activity_log.review_anomaly;alicloud.ram.chain.unauthorized_assume,NEW: k8s.audit.activity_log.privileged_pod_chain
10.6.1,10,yes,System clocks and time are synchronized using time-synchronization technology.,"azure,local_json,pdf",NEW: aws.ec2.instance.time_sync,0.00,NEW: azure.virtual_machine.time_sync,0.00,NEW: gcp.compute.instance.time_sync,0.00,NEW: oci.compute.instance.time_sync,0.00,PARTIAL: ibm.vpc.instance.guest_config | verifies guest OS config recommendation exists but not its execution or state,0.00,PARTIAL: alicloud.ecs.instance.guest_config | verifies guest OS config recommendation exists but not its execution or state,0.00,NEW: k8s.node.time_sync,0.00,NEW: aws.ec2.activity_log.modify_time_sync;aws.cloudtrail.audit.stop_logging,NEW: azure.vm.activity_log.modify_time_config;azure.monitor.audit.disable_log_profile,NEW: gcp.compute.activity_log.set_ntp_config;gcp.logging.audit.update_sink,NEW: oci.compute.activity_log.update_instance;oci.audit.audit.update_config,NEW: ibm.vpc.activity_log.update_instance;ibm.activity_tracker.audit.update_route,NEW: alicloud.ecs.activity_log.modify_instance;alicloud.actiontrail.audit.update_trail,NEW: k8s.node.chain.time_ntp_disable;k8s.audit.audit.webhook_disable
10.7.1,10,yes,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security cont","azure,local_json,pdf","SKIP: Control is a process requirement for detecting/alerting on system failures, not a static resource configuration.",0.00,"SKIP: Control is a process requirement for detecting/alerting on system failures, not a static resource configuration.",0.00,"SKIP: Control is a process requirement for detecting/alerting on system failures, not a static resource configuration.",0.00,"SKIP: Control is a process requirement for detecting/alerting on system failures, not a static resource configuration.",0.00,"SKIP: Control is a process requirement for detecting/alerting on system failures, not a static resource configuration.",0.00,"SKIP: Control is a process requirement for detecting/alerting on system failures, not a static resource configuration.",0.00,"SKIP: Control is a process requirement for detecting/alerting on system failures, not a static resource configuration.",0.00,NEW: aws.cloudtrail.audit.config_deletion;aws.cloudtrail.chain.defense_evasion,NEW: azure.activity_log.audit.policy_override;azure.monitor.chain.alert_suppression,NEW: gcp.audit_log.activity_log.sink_deletion;gcp.cloudasset.chain.iam_escalation,NEW: oci.audit.activity_log.vault_deletion;oci.identity.chain.compartment_bypass,NEW: ibm.activity_log.audit.rule_deletion;ibm.chain.defense_evasion,NEW: alicloud.actiontrail.audit.trail_deletion;alicloud.chain.ram_bypass,NEW: k8s.audit.activity_log.psp_deletion;k8s.chain.pod_privilege_escape
11.3.1.1,11,yes,"All other applicable vulnerabilities (those not ranked as high-risk or critical) are managed as follows: • Addressed based on the risk defined in the entity’s targeted risk analysis, performed according to Requirement 12","azure,local_json,pdf","SKIP: Control requires verifying entity's internal risk analysis process, not a specific cloud resource configuration.",0.00,"SKIP: Control requires verifying entity's internal risk analysis process, not a specific cloud resource configuration.",0.00,"SKIP: Control requires verifying entity's internal risk analysis process, not a specific cloud resource configuration.",0.00,"SKIP: Control requires verifying entity's internal risk analysis process, not a specific cloud resource configuration.",0.00,"SKIP: Control requires verifying entity's internal risk analysis process, not a specific cloud resource configuration.",0.00,alicloud.cr.image.critical_vulnerabilities_blocked,0.40,"SKIP: Control requires verifying entity's internal risk analysis process, not a specific cloud resource configuration.",0.00,,,,,,,
11.3.1.3,11,yes,Internal vulnerability scans are performed after any significant change as follows: • Vulnerabilities that are either high-risk or critical (according to the entity’s vulnerability risk rankings defined at Requirement 6.,"azure,local_json,pdf",PARTIAL: aws.ec2.image.scan_on_push | verifies ECR image scanning is enabled on push but does not confirm execution after significant changes,0.00,PARTIAL: azure.cr.image.vulnerability_assessment_enabled | verifies ACR vulnerability scanning is configured but does not confirm execution after significant changes,0.00,PARTIAL: gcp.artifactregistry.image.vulnerability_scanning_enabled | verifies Artifact Registry vulnerability scanning is on but does not confirm execution after significant changes,0.00,PARTIAL: oci.artifacts.container.image.scan_on_push | verifies OCIR scan on push is enabled but does not confirm execution after significant changes,0.00,PARTIAL: ibm.containerregistry.image.security_advisory_enabled | verifies IBM Container Registry vulnerability scanning is configured but does not confirm execution after significant changes,0.00,alicloud.cr.image.critical_vulnerabilities_blocked,0.40,"SKIP: Control requires checking execution of scans after changes to infrastructure; Kubernetes CSPM primarily verifies static configuration of workloads, not the scanning process itself.",0.00,,,,,,,
11.4.1,11,yes,"A penetration testing methodology is defined, documented, and implemented by the entity, and includes: • Industry-accepted penetration testing approaches. • Coverage for the entire CDE perimeter and critical systems. • T","azure,local_json,pdf","SKIP: Control defines methodology/documentation, not a specific cloud resource configuration.",0.00,"SKIP: Control defines methodology/documentation, not a specific cloud resource configuration.",0.00,"SKIP: Control defines methodology/documentation, not a specific cloud resource configuration.",0.00,"SKIP: Control defines methodology/documentation, not a specific cloud resource configuration.",0.00,"SKIP: Control defines methodology/documentation, not a specific cloud resource configuration.",0.00,"SKIP: Control defines methodology/documentation, not a specific cloud resource configuration.",0.00,"SKIP: Control defines methodology/documentation, not a specific cloud resource configuration.",0.00,,,,,,,
11.4.6,11,yes,"Additional requirement for service providers only: If segmentation is used to isolate the CDE from other networks, penetration tests are performed on segmentation controls as follows: • At least once every six months and","azure,local_json,pdf","SKIP: Control requires verifying execution of penetration tests, not a static resource configuration.",0.00,"SKIP: Control requires verifying execution of penetration tests, not a static resource configuration.",0.00,"SKIP: Control requires verifying execution of penetration tests, not a static resource configuration.",0.00,"SKIP: Control requires verifying execution of penetration tests, not a static resource configuration.",0.00,"SKIP: Control requires verifying execution of penetration tests, not a static resource configuration.",0.00,"SKIP: Control requires verifying execution of penetration tests, not a static resource configuration.",0.00,"SKIP: Control requires verifying execution of penetration tests, not a static resource configuration.",0.00,,,,,,,
11.4.7,11,yes,Additional requirement for multi-tenant service providers only: Multi-tenant service providers support their customers for external penetration testing per Requirement 11.4.3 and 11.4.4.,"azure,local_json,pdf",PARTIAL: aws.ec2.security_group.no_public_ingress | verifies network isolation but not penetration testing support process,0.00,azure.aisearch.service.not_publicly_accessible,0.40,gcp.gke.service.service_external_ips_not_used,0.40,PARTIAL: oci.core.security_list.no_public_ingress | verifies network isolation but not penetration testing support process,0.00,PARTIAL: ibm.is.security_group.no_public_ingress | verifies network isolation but not penetration testing support process,0.00,alicloud.elasticsearch.service.not_publicly_accessible,0.40,k8s.service.no.external_ip;k8s.service.service.no_external_ip_configured,0.67,,,,,,,
